scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,psi_extended,psi_term_regime,psi_term_t,psi_term_d,psi_term_g,psi_term_s,psi_term_variance,collapse_share,S_network,cluster_variance,max_cluster_collapse_share,trigger_A,trigger_A_source,message_loss,phase_divergence
async_message_loss,high_stress,0,9710,17,19,30,11,0.285711,0.0,0.064347,0.031091,0.072774,0.117214,0.000285,0.0,0.665103,0.002853,0.0,0,,0.31,0.250406
async_message_loss,high_stress,0,9710,18,19,30,11,0.294587,0.0,0.066037,0.031291,0.075366,0.121568,0.000326,0.0,0.652664,0.003261,0.0,0,,0.31,0.247087
async_message_loss,high_stress,0,9710,19,19,30,11,0.307654,0.0,0.06934,0.031384,0.078109,0.128421,0.0004,0.0,0.633084,0.004004,0.0,1,C07_PSI_EXTENDED,0.31,0.299064
async_message_loss,high_stress,0,9710,20,19,30,11,0.31798,0.0,0.073129,0.031244,0.078884,0.134275,0.000446,0.0,0.616356,0.004462,0.0,1,C07_PSI_EXTENDED,0.31,0.282802
async_message_loss,high_stress,0,9710,21,19,30,11,0.328582,0.0,0.076575,0.03109,0.080067,0.140319,0.000531,0.0,0.599088,0.005306,0.0,1,C07_PSI_EXTENDED,0.31,0.275071
async_message_loss,high_stress,0,9710,22,19,30,11,0.340332,0.0,0.080037,0.030874,0.081613,0.147222,0.000586,0.0,0.579366,0.005859,0.0,1,C07_PSI_EXTENDED,0.31,0.26559
async_message_loss,high_stress,0,9710,23,19,30,11,0.355382,0.0,0.084276,0.030826,0.083498,0.156058,0.000725,0.0,0.554121,0.007247,0.0,1,C07_PSI_EXTENDED,0.31,0.276965
async_message_loss,high_stress,0,9710,24,19,30,11,0.370751,0.0,0.088681,0.03084,0.085751,0.164595,0.000884,0.0,0.529729,0.008845,0.0,1,C07_PSI_EXTENDED,0.31,0.286767
async_message_loss,high_stress,0,9710,25,19,30,11,0.388801,0.0,0.095071,0.030756,0.088348,0.173612,0.001015,0.016667,0.503967,0.010152,0.05,1,C07_PSI_EXTENDED,0.31,0.273021
async_message_loss,high_stress,0,9710,26,19,30,11,0.40382,0.0,0.098787,0.030736,0.091366,0.181753,0.001178,0.016667,0.480706,0.01178,0.05,1,C07_PSI_EXTENDED,0.31,0.25257
async_message_loss,high_stress,0,9710,27,19,30,11,0.420976,0.0,0.104102,0.030586,0.094562,0.190252,0.001474,0.083333,0.456422,0.014742,0.15,1,C07_PSI_EXTENDED,0.31,0.288271
async_message_loss,high_stress,0,9710,28,19,30,11,0.440436,0.0,0.111384,0.030464,0.097978,0.198998,0.001612,0.166667,0.431434,0.016121,0.25,1,C07_PSI_EXTENDED,0.31,0.29004
async_message_loss,high_stress,0,9710,29,19,30,11,0.463346,0.0,0.118179,0.03022,0.101655,0.211338,0.001955,0.266667,0.396178,0.019547,0.4,1,C07_PSI_EXTENDED,0.31,0.257696
async_message_loss,high_stress,0,9710,30,19,30,11,0.484309,0.0,0.122573,0.031539,0.105471,0.222476,0.00225,0.316667,0.364355,0.022499,0.45,1,C07_PSI_EXTENDED,0.31,0.255293
async_message_loss,high_stress,0,9710,31,19,30,11,0.510096,0.0,0.129776,0.032824,0.109232,0.2357,0.002565,0.35,0.326571,0.02565,0.45,1,C07_PSI_EXTENDED,0.31,0.303069
async_message_loss,high_stress,0,9710,32,19,30,11,0.531052,0.0,0.137413,0.034095,0.113013,0.243696,0.002835,0.433333,0.303726,0.028353,0.5,1,C07_PSI_EXTENDED,0.31,0.278955
async_message_loss,high_stress,0,9710,33,19,30,11,0.55097,0.0,0.142968,0.035384,0.116772,0.253018,0.002828,0.45,0.277091,0.028276,0.55,1,C07_PSI_EXTENDED,0.31,0.26318
federation_bridge_stress,high_stress,0,9380,15,18,26,8,0.271833,0.0,0.064659,0.028596,0.068001,0.110246,0.000331,0.0,0.68501,0.00331,0.0,0,,0.09,0.249861
federation_bridge_stress,high_stress,0,9380,16,18,26,8,0.283276,0.0,0.068079,0.028349,0.070258,0.116193,0.000397,0.0,0.668021,0.003966,0.0,0,,0.09,0.208814
federation_bridge_stress,high_stress,0,9380,17,18,26,8,0.292432,0.0,0.071478,0.028248,0.072806,0.119391,0.000509,0.0,0.658882,0.005091,0.0,0,,0.09,0.262629
