batch_id,scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,psi_extended,psi_term_regime,psi_term_t,psi_term_d,psi_term_g,psi_term_s,psi_term_variance,collapse_share,max_cluster_collapse_share,S_network,cluster_variance,trigger_A,trigger_A_source,message_loss,false_stability
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,16,18,25,7,0.287167,0.0,0.068454,0.029043,0.069856,0.119151,0.000664,0.0,0.0,0.65957,0.006637,0,,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,17,18,25,7,0.29949,0.0,0.07199,0.028701,0.072462,0.125572,0.000766,0.0,0.0,0.641224,0.007663,0,,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,18,18,25,7,0.313248,0.0,0.076258,0.028344,0.075342,0.132333,0.000971,0.0,0.0,0.621905,0.009711,1,C07_PSI_EXTENDED,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,19,18,25,7,0.326386,0.0,0.081121,0.028035,0.076189,0.139935,0.001106,0.016667,0.05,0.600185,0.011056,1,C07_PSI_EXTENDED,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,20,18,25,7,0.341904,0.0,0.086197,0.027889,0.077491,0.148939,0.001387,0.05,0.15,0.574461,0.01387,1,C07_PSI_EXTENDED,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,21,18,25,7,0.358969,0.0,0.091875,0.027836,0.079242,0.158369,0.001647,0.05,0.15,0.547517,0.016473,1,C07_PSI_EXTENDED,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,22,18,25,7,0.378451,0.0,0.098561,0.027783,0.081452,0.168651,0.002003,0.133333,0.2,0.518139,0.020034,1,C07_PSI_EXTENDED,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,23,18,25,7,0.399102,0.0,0.105304,0.027718,0.084155,0.179596,0.002329,0.183333,0.3,0.486868,0.023289,1,C07_PSI_EXTENDED,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,24,18,25,7,0.421909,0.0,0.112798,0.027551,0.087293,0.191424,0.002844,0.25,0.4,0.453076,0.028438,1,C07_PSI_EXTENDED,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,25,18,25,7,0.446535,0.0,0.120817,0.027413,0.090853,0.204319,0.003134,0.3,0.45,0.416232,0.031337,1,C07_PSI_EXTENDED,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,26,18,25,7,0.471813,0.0,0.128493,0.027121,0.094792,0.217883,0.003525,0.366667,0.5,0.377478,0.035245,1,C07_PSI_EXTENDED,0.09,0
grand_sim_v0_5,federation_bridge_stress,high_stress,2,9382,27,18,25,7,0.496927,0.0,0.135757,0.026957,0.099,0.231639,0.003575,0.416667,0.6,0.338174,0.035749,1,C07_PSI_EXTENDED,0.09,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,78,80,95,15,0.288412,0.0,0.031033,0.063584,0.0,0.193102,0.000693,0.0,0.0,0.448281,0.00693,0,,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,79,80,95,15,0.299566,0.0,0.032986,0.063967,0.0,0.201802,0.000811,0.033333,0.1,0.423422,0.008106,0,,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,80,80,95,15,0.311247,0.0,0.03555,0.064171,0.0,0.210648,0.000879,0.05,0.15,0.398149,0.00879,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,81,80,95,15,0.322245,0.0,0.037453,0.064059,0.0,0.219668,0.001065,0.15,0.45,0.372378,0.010654,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,82,80,95,15,0.334065,0.0,0.039971,0.064077,0.0,0.228826,0.001191,0.15,0.45,0.346213,0.011909,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,83,80,95,15,0.345836,0.0,0.042363,0.064024,0.0,0.238138,0.001311,0.15,0.45,0.319605,0.013112,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,84,80,95,15,0.357848,0.0,0.044801,0.063879,0.0,0.24766,0.001508,0.15,0.45,0.292399,0.015076,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,85,80,95,15,0.369438,0.0,0.046843,0.063851,0.0,0.25711,0.001635,0.15,0.45,0.2654,0.016345,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,86,80,95,15,0.379796,0.0,0.049186,0.063688,0.0,0.265349,0.001573,0.15,0.45,0.24186,0.015725,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,87,80,95,15,0.381273,0.0,0.049826,0.063489,0.0,0.266474,0.001485,0.15,0.45,0.238646,0.014849,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,88,80,95,15,0.383525,0.0,0.051092,0.063548,0.0,0.267587,0.001298,0.183333,0.55,0.235465,0.012985,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,89,80,95,15,0.385994,0.0,0.052176,0.064039,0.0,0.26869,0.001088,0.2,0.6,0.232313,0.010884,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,90,80,95,15,0.388128,0.0,0.053262,0.064082,0.0,0.269786,0.000998,0.233333,0.7,0.229184,0.009983,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,91,80,95,15,0.389859,0.0,0.054143,0.063975,0.0,0.270874,0.000868,0.25,0.75,0.226075,0.008678,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,92,80,95,15,0.392089,0.0,0.055743,0.063704,0.0,0.271956,0.000686,0.266667,0.8,0.222983,0.006859,1,C07_PSI_EXTENDED,0.03,0
grand_sim_v0_5,federation_cluster_attack,low_stress,8,9338,93,80,95,15,0.393753,0.0,0.056417,0.063662,0.0,0.273033,0.000642,0.283333,0.85,0.219905,0.006416,1,C07_PSI_EXTENDED,0.03,0
