scenario,profile,run_index,seed,topology_initial,trigger_A_count,trigger_A_first_step,trigger_A_source,psi_weight_profile,psi_threshold
hub_2_balanced,low_stress,5,9425,hub_redundant,101,59,C04_S_THRESHOLD,,0.3
hub_2_balanced,low_stress,6,9426,hub_redundant,95,65,C04_S_THRESHOLD,,0.3
hub_2_balanced,low_stress,7,9427,hub_redundant,103,57,C04_S_THRESHOLD,,0.3
hub_2_balanced,low_stress,8,9428,hub_redundant,102,58,C04_S_THRESHOLD,,0.3
hub_2_balanced,low_stress,9,9429,hub_redundant,101,59,C04_S_THRESHOLD,,0.3
hub_2_balanced,mid_stress,0,9430,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_2_balanced,mid_stress,1,9431,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_2_balanced,mid_stress,2,9432,hub_redundant,117,43,C04_S_THRESHOLD,,0.3
hub_2_balanced,mid_stress,3,9433,hub_redundant,119,41,C04_S_THRESHOLD,,0.3
hub_2_balanced,mid_stress,4,9434,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_2_balanced,mid_stress,5,9435,hub_redundant,117,43,C04_S_THRESHOLD,,0.3
hub_2_balanced,mid_stress,6,9436,hub_redundant,117,43,C04_S_THRESHOLD,,0.3
hub_2_balanced,mid_stress,7,9437,hub_redundant,117,43,C04_S_THRESHOLD,,0.3
hub_2_balanced,mid_stress,8,9438,hub_redundant,117,43,C04_S_THRESHOLD,,0.3
hub_2_balanced,mid_stress,9,9439,hub_redundant,112,48,C04_S_THRESHOLD,,0.3
hub_2_balanced,high_stress,0,9440,hub_redundant,144,16,C04_S_THRESHOLD,,0.3
hub_2_balanced,high_stress,1,9441,hub_redundant,146,14,C04_S_THRESHOLD,,0.3
hub_2_balanced,high_stress,2,9442,hub_redundant,143,17,C04_S_THRESHOLD,,0.3
hub_2_balanced,high_stress,3,9443,hub_redundant,144,16,C04_S_THRESHOLD,,0.3
hub_2_balanced,high_stress,4,9444,hub_redundant,145,15,C04_S_THRESHOLD,,0.3
hub_2_balanced,high_stress,5,9445,hub_redundant,145,15,C04_S_THRESHOLD,,0.3
hub_2_balanced,high_stress,6,9446,hub_redundant,144,16,C04_S_THRESHOLD,,0.3
hub_2_balanced,high_stress,7,9447,hub_redundant,145,15,C04_S_THRESHOLD,,0.3
hub_2_balanced,high_stress,8,9448,hub_redundant,143,17,C04_S_THRESHOLD,,0.3
hub_2_balanced,high_stress,9,9449,hub_redundant,144,16,C04_S_THRESHOLD,,0.3
hub_3_balanced,low_stress,0,9450,hub_redundant,99,61,C04_S_THRESHOLD,,0.3
hub_3_balanced,low_stress,1,9451,hub_redundant,101,59,C04_S_THRESHOLD,,0.3
hub_3_balanced,low_stress,2,9452,hub_redundant,103,57,C04_S_THRESHOLD,,0.3
