batch_id,scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,actual_topology,detected_topology,psi_extended,term_t,term_d,term_g,term_s,term_variance,term_regime,collapse_share,s_network,cluster_variance,trigger_A,trigger_A_source
grand_sim_v0_5,psi_corruption,high_stress,5,9685,25,22,23,1,federation,federation,0.394438,0.104274,0.004956,0.090101,0.191648,0.00346,0.0,0.466667,0.332436,0.034599,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,high_stress,5,9685,26,22,23,1,federation,federation,0.408887,0.112702,0.004837,0.093453,0.194265,0.003629,0.0,0.533333,0.324956,0.036292,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,high_stress,5,9685,27,22,23,1,federation,federation,0.422688,0.119527,0.004695,0.097099,0.197867,0.0035,0.0,0.566667,0.314667,0.035004,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,high_stress,5,9685,28,22,23,1,federation,federation,0.435239,0.124949,0.004666,0.100884,0.20149,0.00325,0.0,0.616667,0.304313,0.032498,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,high_stress,9,9689,18,23,24,1,federation,federation,0.219336,0.045015,0.006879,0.064677,0.101944,0.00082,0.0,0.0,0.58873,0.0082,0,
grand_sim_v0_5,psi_corruption,high_stress,9,9689,19,23,24,1,federation,federation,0.239955,0.050095,0.006847,0.067853,0.11416,0.000999,0.0,0.0,0.553827,0.009994,0,
grand_sim_v0_5,psi_corruption,high_stress,9,9689,20,23,24,1,federation,federation,0.25632,0.055447,0.006679,0.071296,0.121597,0.001302,0.0,0.016667,0.532581,0.013018,0,
grand_sim_v0_5,psi_corruption,high_stress,9,9689,21,23,24,1,federation,federation,0.279787,0.061821,0.006817,0.074995,0.134533,0.001621,0.0,0.083333,0.495619,0.016212,0,
grand_sim_v0_5,psi_corruption,high_stress,9,9689,22,23,24,1,federation,federation,0.296851,0.068954,0.006702,0.078994,0.140205,0.001996,0.0,0.166667,0.479416,0.019963,0,
grand_sim_v0_5,psi_corruption,high_stress,9,9689,23,23,24,1,federation,federation,0.323243,0.076225,0.006529,0.083306,0.154562,0.00262,0.0,0.266667,0.438394,0.026196,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,high_stress,9,9689,24,23,24,1,federation,federation,0.344724,0.084663,0.006527,0.085191,0.165244,0.003099,0.0,0.3,0.407873,0.030989,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,high_stress,9,9689,25,23,24,1,federation,federation,0.370897,0.092356,0.006559,0.08755,0.181064,0.003367,0.0,0.383333,0.362674,0.033674,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,high_stress,9,9689,26,23,24,1,federation,federation,0.393979,0.099656,0.006517,0.090281,0.19384,0.003686,0.0,0.383333,0.326173,0.036859,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,high_stress,9,9689,27,23,24,1,federation,federation,0.407751,0.106062,0.006419,0.093311,0.198455,0.003505,0.0,0.433333,0.312987,0.035045,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,high_stress,9,9689,28,23,24,1,federation,federation,0.420677,0.112627,0.006416,0.096537,0.20191,0.003186,0.0,0.483333,0.303114,0.03186,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,high_stress,9,9689,29,23,24,1,federation,federation,0.43309,0.117391,0.006563,0.099934,0.206153,0.003049,0.0,0.516667,0.290991,0.030492,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,14,19,30,11,federation,federation,0.258816,0.056757,0.031765,0.066518,0.103583,0.000193,0.0,0.0,0.704048,0.001928,0,
grand_sim_v0_5,async_message_loss,high_stress,0,9710,15,19,30,11,federation,federation,0.268379,0.058756,0.031474,0.06837,0.109545,0.000233,0.0,0.0,0.687014,0.002331,0,
grand_sim_v0_5,async_message_loss,high_stress,0,9710,16,19,30,11,federation,federation,0.276011,0.061491,0.031379,0.070437,0.112464,0.00024,0.0,0.0,0.678674,0.002399,0,
grand_sim_v0_5,async_message_loss,high_stress,0,9710,17,19,30,11,federation,federation,0.285711,0.064347,0.031091,0.072774,0.117214,0.000285,0.0,0.0,0.665103,0.002853,0,
grand_sim_v0_5,async_message_loss,high_stress,0,9710,18,19,30,11,federation,federation,0.294587,0.066037,0.031291,0.075366,0.121568,0.000326,0.0,0.0,0.652664,0.003261,0,
grand_sim_v0_5,async_message_loss,high_stress,0,9710,19,19,30,11,federation,federation,0.307654,0.06934,0.031384,0.078109,0.128421,0.0004,0.0,0.0,0.633084,0.004004,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,20,19,30,11,federation,federation,0.31798,0.073129,0.031244,0.078884,0.134275,0.000446,0.0,0.0,0.616356,0.004462,1,C07_PSI_EXTENDED
grand_sim_v0_5,async_message_loss,high_stress,0,9710,21,19,30,11,federation,federation,0.328582,0.076575,0.03109,0.080067,0.140319,0.000531,0.0,0.0,0.599088,0.005306,1,C07_PSI_EXTENDED
