scenario,profile,run_index,seed,collapse_share_peak,collapse30_event_first_step,trigger_A_first_step,trigger_A_source,trigger_A_lead_to_collapse30,trigger_A_before_collapse30,trigger_A_false_positive_no_collapse30,psi_threshold,psi_weight_profile,psi_w_t,psi_w_d,psi_w_g,psi_w_s,psi_w_regime
federation_bridge_stress,low_stress,7,9367,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,low_stress,8,9368,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,low_stress,9,9369,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,mid_stress,0,9370,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,mid_stress,1,9371,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,mid_stress,2,9372,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,mid_stress,3,9373,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,mid_stress,4,9374,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,mid_stress,5,9375,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,mid_stress,6,9376,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,mid_stress,7,9377,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,mid_stress,8,9378,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,mid_stress,9,9379,0.1,,,,,0,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,high_stress,0,9380,1.0,26,18,C07_PSI_EXTENDED,8,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,high_stress,1,9381,1.0,25,17,C07_PSI_EXTENDED,8,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,high_stress,2,9382,1.0,25,18,C07_PSI_EXTENDED,7,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,high_stress,3,9383,1.0,26,18,C07_PSI_EXTENDED,8,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,high_stress,4,9384,1.0,25,16,C07_PSI_EXTENDED,9,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,high_stress,5,9385,1.0,26,17,C07_PSI_EXTENDED,9,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,high_stress,6,9386,1.0,27,20,C07_PSI_EXTENDED,7,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,high_stress,7,9387,1.0,26,18,C07_PSI_EXTENDED,8,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,high_stress,8,9388,1.0,24,17,C07_PSI_EXTENDED,7,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_bridge_stress,high_stress,9,9389,1.0,25,17,C07_PSI_EXTENDED,8,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
psi_corruption,low_stress,0,9660,0.333333,86,83,C07_PSI_EXTENDED,3,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
