batch_id,scenario,profile,runs,sustained_ignition_rate,avg_collapse_share_peak,avg_final_T_mean,avg_final_S_network,avg_final_G_effective,avg_trigger_A_count,avg_trigger_B_count,avg_trigger_C_count,avg_false_stability_steps,avg_async_false_stability_steps,resource_exhaustion_rate,avg_max_unmet_recovery_demand
grand_sim_v0_5,async_message_loss,high_stress,10,1.0,1.0,0.03,0.152706,0.0,140.6,0.0,0.0,0.2,0.2,0.0,0.0
grand_sim_v0_5,async_message_loss,low_stress,10,0.0,0.1,0.905594,0.971753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,async_message_loss,mid_stress,10,0.0,0.1,0.90318,0.969201,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.006599
grand_sim_v0_5,federation_bridge_stress,high_stress,10,1.0,1.0,0.03,0.156646,0.0,142.4,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,federation_bridge_stress,low_stress,10,0.0,0.1,0.903333,0.976276,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.008922
grand_sim_v0_5,federation_bridge_stress,mid_stress,10,0.0,0.1,0.903,0.973257,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012134
grand_sim_v0_5,federation_cluster_attack,high_stress,10,1.0,1.0,0.03,0.159701,0.0,141.6,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,federation_cluster_attack,low_stress,10,0.0,0.333333,0.676909,0.392711,0.979373,71.3,0.0,0.0,0.0,0.0,1.0,0.003189
grand_sim_v0_5,federation_cluster_attack,mid_stress,10,0.0,0.333333,0.676667,0.371836,1.0,104.3,0.0,0.0,0.0,0.0,1.0,0.002687
grand_sim_v0_5,governance_capture,high_stress,10,1.0,1.0,0.03,0.162051,0.0,131.0,0.0,56.8,20.5,0.0,0.0,0.0
grand_sim_v0_5,governance_capture,low_stress,10,1.0,1.0,0.03,0.288002,0.0,48.2,0.0,98.4,81.0,0.0,0.0,0.0
grand_sim_v0_5,governance_capture,mid_stress,10,1.0,1.0,0.03,0.248532,0.0,61.9,0.0,94.0,78.0,0.0,0.0,0.0
grand_sim_v0_5,hub_2_balanced,high_stress,10,1.0,1.0,0.03,0.147174,0.0,144.3,0.0,0.0,0.0,0.0,0.2,0.00095
grand_sim_v0_5,hub_2_balanced,low_stress,10,0.0,0.033333,0.971105,0.416924,1.0,100.1,0.0,0.0,0.0,0.0,0.5,0.006586
grand_sim_v0_5,hub_2_balanced,mid_stress,10,1.0,1.0,0.03,0.152777,0.0,116.4,0.0,0.0,0.0,0.0,0.9,0.001176
grand_sim_v0_5,hub_2_single_hub_failure,high_stress,10,1.0,1.0,0.03,0.147599,0.0,144.2,0.0,0.0,0.0,0.0,0.3,0.00103
grand_sim_v0_5,hub_2_single_hub_failure,low_stress,10,0.0,0.016667,0.987045,0.474546,1.0,93.5,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,hub_2_single_hub_failure,mid_stress,10,1.0,0.5,0.504341,0.223897,0.184011,112.9,0.0,0.0,0.0,0.0,1.0,0.003905
grand_sim_v0_5,hub_3_balanced,high_stress,10,1.0,1.0,0.03,0.149368,0.0,140.4,0.0,0.0,0.0,0.0,0.2,8.9e-05
grand_sim_v0_5,hub_3_balanced,low_stress,10,0.0,0.05,0.953713,0.390087,1.0,100.7,0.0,0.0,0.0,0.0,0.8,0.010205
grand_sim_v0_5,hub_3_balanced,mid_stress,10,1.0,1.0,0.032141,0.235169,0.0,116.0,0.0,0.0,0.0,0.0,1.0,0.009887
grand_sim_v0_5,hub_3_single_hub_failure,high_stress,10,1.0,1.0,0.03,0.14807,0.0,139.9,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,hub_3_single_hub_failure,low_stress,10,0.0,0.016667,0.986581,0.458793,1.0,90.4,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,hub_3_single_hub_failure,mid_stress,10,0.0,0.135,0.845572,0.363659,1.0,113.1,0.0,0.0,0.0,0.0,0.8,0.00391
grand_sim_v0_5,mixed_hia_identity,high_stress,10,1.0,1.0,0.03,0.164945,0.0,131.1,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,mixed_hia_identity,low_stress,10,0.0,0.0,0.866899,0.815298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,mixed_hia_identity,mid_stress,10,0.0,0.0,0.845551,0.797046,0.992105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,psi_corruption,high_stress,10,1.0,1.0,0.03,0.156746,0.0,137.1,0.0,160.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,psi_corruption,low_stress,10,0.0,0.333333,0.676667,0.381433,0.804962,31.8,0.0,160.0,0.0,0.0,1.0,0.002407
grand_sim_v0_5,psi_corruption,mid_stress,10,0.0,0.333333,0.676667,0.338152,0.541462,60.7,0.0,160.0,0.0,0.0,1.0,0.004359
grand_sim_v0_5,ring_baseline,high_stress,10,1.0,1.0,0.03,0.169357,0.0,122.0,0.0,0.0,0.2,0.0,0.0,0.0
grand_sim_v0_5,ring_baseline,low_stress,10,0.0,0.0,1.0,0.988339,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,ring_baseline,mid_stress,10,0.0,0.0,1.0,0.986935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,star_unsafe_reference,high_stress,10,1.0,1.0,0.03,0.137536,0.0,150.9,0.0,0.0,0.0,0.0,0.5,0.005011
grand_sim_v0_5,star_unsafe_reference,low_stress,10,0.0,0.101667,0.771142,0.382358,1.0,100.3,0.0,0.0,0.0,0.0,0.3,0.001675
grand_sim_v0_5,star_unsafe_reference,mid_stress,10,1.0,1.0,0.03,0.145831,0.0,125.2,0.0,0.0,0.0,0.0,0.2,0.00012
grand_sim_v0_5,topology_drift,high_stress,10,1.0,1.0,0.03,0.150865,0.0,131.5,0.0,0.0,0.1,0.0,0.0,0.0
grand_sim_v0_5,topology_drift,low_stress,10,0.0,0.016667,0.987415,0.487158,1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_5,topology_drift,mid_stress,10,1.0,1.0,0.03,0.159897,0.0,80.0,0.0,0.0,0.0,0.0,0.4,0.000863
grand_sim_v0_5,trigger_b_deadlock,high_stress,10,1.0,1.0,0.03,0.146446,0.0,137.3,110.0,0.0,0.0,0.0,1.0,0.015839
grand_sim_v0_5,trigger_b_deadlock,low_stress,10,1.0,1.0,0.03,0.27326,0.0,106.9,83.2,20.0,6.0,0.0,1.0,0.016873
grand_sim_v0_5,trigger_b_deadlock,mid_stress,10,1.0,1.0,0.03,0.173552,0.0,118.3,87.0,20.0,6.0,0.0,1.0,0.015886
