final_cooperation,final_trust,stable_run,fragile_run
0.8474187012436991,0.5025875263043402,0,0
0.8880871587248713,0.7351147757187945,1,0
0.8089260771321466,0.32959194107968354,0,0
0.9354732748619621,0.8063498742951833,0,0
0.8621036160742108,0.6156387304646451,0,0
0.86013828746913,0.5994320386143613,0,0
0.9491743399328021,0.848757117338492,0,0
0.877589454937514,0.6814687953679466,0,0
0.8888800592262942,0.7182353420205807,0,0
0.7160008686882476,0.28522863692201933,0,1
0.891628315358734,0.6490186217588093,0,0
0.8414770895326673,0.5873297080915012,0,0
0.8530889153182403,0.6173128057337814,0,0
0.9815937197096329,0.932632752118406,0,0
0.7642279863064226,0.4761924421193425,0,1
0.6995188637133876,0.31312909882833007,0,1
0.9188858812590807,0.7111674493987914,1,0
0.7961368505741999,0.5762764557649613,0,1
0.6974615114544446,0.29253873218663345,0,1
0.8531852207749253,0.42691928459763584,1,0
