final_cooperation,final_trust,stable_run,fragile_run
0.8336314869238817,0.48893396493654406,0,0
0.8762531850580784,0.7259592300455281,1,0
0.7095785783866537,0.22316422258851265,0,1
0.9181566209595229,0.7887150744029063,0,0
0.839095498706595,0.5904335241156281,0,0
0.8438894740653449,0.5802450410177131,0,0
0.9374849178832352,0.8412250104642767,0,0
0.8617279090238879,0.6658909459698654,0,0
0.8437821500736506,0.6618884923813915,0,0
0.7040396421783465,0.2735337551802168,0,1
0.840551137117553,0.5882533433719601,0,0
0.8279674945710762,0.5737354408221642,0,0
0.7759051723662982,0.5315612071716517,0,1
0.9664643531199225,0.9229828321391434,0,0
0.7354417437867178,0.4355511130055415,0,1
0.6881747031383305,0.3043000996065511,0,1
0.9070634039720384,0.6993294390496892,0,0
0.7794231290278033,0.5494387674493993,0,1
0.6854558572107806,0.2795845933400521,0,1
0.841440887400787,0.4169800934951256,1,0
