final_cooperation,final_trust,stable_run,fragile_run
0.8538143150800668,0.5123956629788707,1,0
0.8933831667207143,0.7433522292599858,1,0
0.820283166657453,0.34917134540542055,0,0
0.9430240532032872,0.8202422440524063,0,0
0.8760306979435116,0.6414524451574629,0,0
0.8697523993021203,0.6173782423992926,0,0
0.9551596195086092,0.8573536589787695,0,0
0.8871173829715692,0.6977873538117487,0,0
0.8947899558592682,0.727681341521149,0,0
0.7230082288126566,0.29450187534078826,0,1
0.9023314239000553,0.6708612919852439,0,0
0.8471971083563085,0.595865097518655,0,0
0.8592739454007552,0.6274194631670508,0,0
0.9878202729961127,0.9421215422627014,1,0
0.7763019648402405,0.4965244943002412,0,1
0.7055979582679237,0.31871314608598,0,1
0.9236338102318224,0.7193888458519552,1,0
0.8175621676991878,0.6020949833642539,0,0
0.7043884136098527,0.30103961669836377,0,1
0.858062931309305,0.4351581949731939,1,0
