final_cooperation,final_trust,stable_run,fragile_run
0.8519939016712876,0.509645437359195,1,0
0.8916180670812274,0.7406067813305584,1,0
0.8182490571852068,0.3461942837449223,0,0
0.9409250300430725,0.8164322534707528,0,0
0.8741647251920781,0.638430995224045,0,0
0.8650761071493306,0.6084596032845891,0,0
0.9531654055358336,0.854488514122912,0,0
0.8852055136436972,0.6949670878739224,0,0
0.8929943446580364,0.7249229605778923,0,0
0.7206726915986816,0.2914110333769773,0,1
0.8960389080230071,0.6565733304834851,0,0
0.8452909706581508,0.5930203741379506,0,0
0.8572220640704974,0.6240729180400978,0,0
0.9855804042565768,0.9385603296265184,0,0
0.7735257870481983,0.49195351905803564,0,1
0.7036614642008311,0.31685186890596506,0,1
0.9220514065416261,0.7166487505559103,1,0
0.8018635676215898,0.5861278106231607,0,0
0.7021054127378338,0.29820618066324467,0,1
0.8564371617685995,0.4324122620791766,1,0
