batch_id,scenario,profile,runs,sustained_ignition_rate,avg_collapse_share_peak,avg_final_T_mean,avg_final_S_network,avg_final_G_effective,avg_trigger_A_count,avg_trigger_B_count,avg_trigger_C_count,avg_false_stability_steps,avg_async_false_stability_steps,avg_topology_wrong_monitoring_steps,avg_topology_false_stability_steps,avg_topology_hidden_collapse_steps,avg_topology_blind_no_trigger_steps,avg_max_wrong_monitoring_window,resource_exhaustion_rate,avg_resource_floor_steps,avg_max_unmet_recovery_demand,avg_max_routing_delay_loss
grand_sim_v0_7,hub_2_unbalanced_secondary_failure,mid_stress,10,0.0,0.3,0.709,0.326559,1.0,114.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.9,0.003607,0.0
grand_sim_v0_7,hub_3_balanced,high_stress,10,1.0,1.0,0.03,0.147927,0.0,141.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,26.8,0.000657,0.0
grand_sim_v0_7,hub_3_balanced,low_stress,10,0.0,0.05,0.952166,0.373558,1.0,100.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,29.1,0.012462,0.0
grand_sim_v0_7,hub_3_balanced,mid_stress,10,1.0,0.998333,0.03298,0.233208,0.0,115.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.9,0.008359,0.0
grand_sim_v0_7,hub_3_single_hub_failure,high_stress,10,1.0,1.0,0.03,0.150559,0.0,140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.4,0.00097,0.0
grand_sim_v0_7,hub_3_single_hub_failure,low_stress,10,0.0,0.016667,0.987424,0.483885,1.0,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,hub_3_single_hub_failure,mid_stress,10,0.0,0.108333,0.853919,0.367514,1.0,112.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,16.3,0.001848,0.0
grand_sim_v0_7,hub_3_unbalanced_primary_failure,high_stress,10,1.0,1.0,0.03,0.146889,0.0,140.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.4,5e-05,0.0
grand_sim_v0_7,hub_3_unbalanced_primary_failure,low_stress,10,0.0,0.016667,0.986833,0.463971,1.0,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,hub_3_unbalanced_primary_failure,mid_stress,10,0.0,0.325,0.604514,0.352253,0.802842,113.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.6,0.004508,0.0
grand_sim_v0_7,hub_3_unbalanced_secondary_failure,high_stress,10,1.0,1.0,0.03,0.146462,0.0,141.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,16.7,0.000776,0.0
grand_sim_v0_7,hub_3_unbalanced_secondary_failure,low_stress,10,0.0,0.016667,0.987098,0.470373,1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,hub_3_unbalanced_secondary_failure,mid_stress,10,0.0,0.091667,0.883975,0.361027,1.0,112.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,14.8,0.001861,0.0
grand_sim_v0_7,mixed_hia_identity,high_stress,10,1.0,1.0,0.03,0.165156,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,mixed_hia_identity,low_stress,10,0.0,0.0,0.878197,0.820623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,mixed_hia_identity,mid_stress,10,0.0,0.003333,0.826945,0.787371,0.964514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,psi_corruption,high_stress,10,1.0,1.0,0.03,0.156814,0.0,137.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,psi_corruption,low_stress,10,0.0,0.333333,0.676671,0.381923,0.804963,31.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.5,0.002441,0.0
