run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,500,True,True,0.934,1.0,1.0,30,31,0.559,0.75,8,6,0.1,0.714,0.637,6,6,1.0,90.0,124,0.326,0.245,0.326,100,0,,False,True,0.0,none,0,0,0
2,43,random,500,True,True,0.663,1.0,1.0,47,48,0.309,0.773,22,17,0.1,0.495,0.48,6,6,1.0,90.0,172,0.226,0.157,0.226,100,0,,False,True,0.0,none,0,0,0
3,44,random,500,True,True,0.898,1.0,1.0,37,38,0.441,0.667,15,10,0.1,0.705,0.639,6,6,1.0,90.0,138,0.268,0.196,0.268,100,0,,False,True,0.0,none,0,0,0
4,45,random,500,True,True,0.952,1.0,1.0,32,33,0.522,0.6,10,6,0.1,0.767,0.685,6,6,1.0,90.0,136,0.329,0.251,0.329,100,0,,False,True,0.0,none,0,0,0
5,46,random,500,True,True,0.903,1.0,1.0,33,34,0.507,0.4,10,4,0.1,0.7,0.629,6,6,1.0,90.0,155,0.287,0.212,0.287,100,0,,False,True,0.0,none,0,0,0
6,47,random,500,True,True,0.952,1.0,1.0,34,35,0.5,0.0,7,0,0.1,0.775,0.691,6,6,1.0,90.0,145,0.302,0.221,0.302,100,0,,False,True,0.0,none,0,0,0
7,48,random,500,True,True,0.948,1.0,1.0,29,30,0.58,0.5,10,5,0.1,0.747,0.666,6,6,1.0,91.667,115,0.317,0.232,0.317,100,0,,False,True,0.0,none,0,0,0
8,49,random,500,True,True,0.955,1.0,1.0,40,40,0.4,0.375,8,3,0.1,0.759,0.682,6,6,1.0,90.0,150,0.256,0.174,0.256,100,0,,False,True,0.0,none,0,0,0
9,50,random,500,True,True,0.883,1.0,1.0,43,43,0.364,0.625,16,10,0.1,0.71,0.647,6,6,1.0,90.0,165,0.248,0.172,0.248,100,0,,False,True,0.0,none,0,0,0
10,51,random,500,True,True,0.921,1.0,1.0,30,31,0.571,0.6,10,6,0.1,0.731,0.652,6,6,1.0,90.0,141,0.33,0.259,0.33,100,0,,False,True,0.0,none,0,0,0
11,52,random,500,True,True,0.922,1.0,1.0,30,31,0.53,0.5,6,3,0.1,0.726,0.651,6,6,1.0,90.0,116,0.327,0.241,0.327,100,0,,False,True,0.0,none,0,0,0
12,53,random,500,True,True,0.942,1.0,1.0,31,31,0.552,0.727,11,8,0.1,0.741,0.657,6,6,1.0,90.0,137,0.318,0.246,0.318,100,0,,False,True,0.0,none,0,0,0
