run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,500,True,True,0.88,1.0,1.0,44,45,0.221,0.737,19,14,0.05,0.712,0.614,6,6,1.0,90.0,123,0.25,0.204,0.25,100,0,,False,True,0.0,none,0,0,0
2,43,federation,500,False,False,0.429,1.0,1.0,50,50,0.265,0.857,35,30,0.05,0.261,0.309,6,6,1.0,90.0,151,0.177,0.16,0.177,100,0,,False,True,0.0,none,0,0,0
3,44,federation,500,True,True,0.624,1.0,1.0,46,47,0.333,0.75,24,18,0.05,0.494,0.461,6,6,1.0,90.0,146,0.215,0.188,0.215,100,0,,False,True,0.0,none,0,0,0
4,45,federation,500,True,True,0.575,1.0,1.0,52,52,0.209,0.75,32,24,0.05,0.458,0.456,6,6,1.0,90.0,146,0.195,0.171,0.195,100,0,,False,True,0.0,none,0,0,0
5,46,federation,500,True,True,0.557,1.0,1.0,55,56,0.136,0.679,28,19,0.05,0.434,0.438,6,6,1.0,90.0,162,0.161,0.153,0.161,100,0,,False,True,0.0,none,0,0,0
6,47,federation,500,True,True,0.69,1.0,1.0,47,47,0.303,0.7,30,21,0.05,0.573,0.536,6,6,1.0,90.0,129,0.197,0.174,0.197,100,0,,False,True,0.0,none,0,0,0
7,48,federation,500,True,True,0.842,1.0,1.0,37,39,0.429,0.316,19,6,0.05,0.658,0.571,6,6,1.0,90.0,107,0.278,0.221,0.278,100,0,,False,True,0.0,none,0,0,0
8,49,federation,500,True,True,0.882,1.0,1.0,40,40,0.258,0.611,18,11,0.05,0.702,0.603,6,6,1.0,90.0,120,0.267,0.218,0.267,100,0,,False,True,0.0,none,0,0,0
9,50,federation,500,True,True,0.79,1.0,1.0,48,49,0.261,0.538,26,14,0.05,0.632,0.561,6,6,1.0,90.0,131,0.222,0.185,0.222,100,0,,False,True,0.0,none,0,0,0
10,51,federation,500,True,True,0.672,1.0,1.0,44,45,0.333,0.731,26,19,0.05,0.499,0.46,6,6,1.0,90.0,136,0.188,0.165,0.188,100,0,,False,True,0.0,none,0,0,0
11,52,federation,500,True,True,0.805,1.0,1.0,48,49,0.212,0.565,23,13,0.05,0.663,0.578,6,6,1.0,90.0,133,0.216,0.184,0.216,100,0,,False,True,0.0,none,0,0,0
12,53,federation,500,True,True,0.864,1.0,1.0,45,46,0.246,0.476,21,10,0.05,0.678,0.575,6,6,1.0,90.0,128,0.24,0.188,0.24,100,0,,False,True,0.0,none,0,0,0
13,54,federation,500,True,True,0.84,1.0,1.0,55,54,0.141,0.478,23,11,0.05,0.647,0.556,6,6,1.0,90.0,162,0.179,0.163,0.179,100,0,,False,True,0.0,none,0,0,0
14,55,federation,500,True,True,0.779,1.0,1.0,45,46,0.338,0.7,20,14,0.05,0.589,0.526,6,6,1.0,90.0,134,0.21,0.178,0.21,100,0,,False,True,0.0,none,0,0,0
15,56,federation,500,True,True,0.786,1.0,1.0,44,45,0.304,0.808,26,21,0.05,0.629,0.562,6,6,1.0,90.0,128,0.249,0.21,0.249,100,0,,False,True,0.0,none,0,0,0
16,57,federation,500,True,True,0.905,1.0,1.0,32,32,0.537,0.667,15,10,0.05,0.718,0.607,6,6,1.0,90.0,107,0.32,0.25,0.32,100,0,,False,True,0.0,none,0,0,0
17,58,federation,500,False,False,0.489,1.0,1.0,53,53,0.224,0.686,35,24,0.05,0.379,0.411,6,6,1.0,90.0,168,0.154,0.139,0.154,100,0,,False,True,0.0,none,0,0,0
18,59,federation,500,True,True,0.815,1.0,1.0,41,41,0.333,0.5,20,10,0.05,0.607,0.537,6,6,1.0,90.0,142,0.256,0.202,0.256,100,0,,False,True,0.0,none,0,0,0
19,60,federation,500,True,True,0.875,1.0,1.0,37,38,0.471,0.706,17,12,0.05,0.69,0.601,6,6,1.0,90.0,131,0.299,0.236,0.299,100,0,,False,True,0.0,none,0,0,0
20,61,federation,500,True,True,0.602,1.0,1.0,43,44,0.358,0.769,26,20,0.05,0.442,0.435,6,6,1.0,90.0,165,0.189,0.176,0.189,100,0,,False,True,0.0,none,0,0,0
21,62,federation,500,True,True,0.832,1.0,1.0,41,41,0.403,0.7,20,14,0.05,0.634,0.551,6,6,1.0,90.0,145,0.242,0.196,0.242,100,0,,False,True,0.0,none,0,0,0
22,63,federation,500,True,True,0.717,1.0,1.0,41,42,0.397,0.5,24,12,0.05,0.534,0.49,6,6,1.0,90.0,131,0.241,0.199,0.241,100,0,,False,True,0.0,none,0,0,0
23,64,federation,500,True,True,0.863,1.0,1.0,40,41,0.438,0.783,23,18,0.05,0.672,0.583,6,6,1.0,90.0,136,0.27,0.222,0.27,100,0,,False,True,0.0,none,0,0,0
24,65,federation,500,True,True,0.865,1.0,1.0,44,46,0.338,0.667,21,14,0.05,0.669,0.568,6,6,1.0,90.0,144,0.222,0.195,0.222,100,0,,False,True,0.0,none,0,0,0
25,66,federation,500,True,True,0.882,1.0,1.0,41,43,0.203,0.625,16,10,0.05,0.669,0.56,6,6,1.0,90.0,128,0.262,0.201,0.262,100,0,,False,True,0.0,none,0,0,0
26,67,federation,500,False,False,0.492,1.0,1.0,47,48,0.277,0.633,30,19,0.05,0.35,0.377,6,6,1.0,90.0,140,0.189,0.163,0.189,100,0,,False,True,0.0,none,0,0,0
27,68,federation,500,True,True,0.873,1.0,1.0,41,41,0.42,0.824,17,14,0.05,0.682,0.581,6,6,1.0,90.0,139,0.259,0.222,0.259,100,0,,False,True,0.0,none,0,0,0
28,69,federation,500,True,True,0.616,1.0,1.0,49,49,0.284,0.704,27,19,0.05,0.458,0.444,6,6,1.0,90.0,134,0.195,0.166,0.195,100,0,,False,True,0.0,none,0,0,0
29,70,federation,500,True,True,0.712,1.0,1.0,49,51,0.239,0.739,23,17,0.05,0.574,0.527,6,6,1.0,90.0,159,0.234,0.199,0.234,100,0,,False,True,0.0,none,0,0,0
30,71,federation,500,True,True,0.894,1.0,1.0,46,47,0.273,0.667,18,12,0.05,0.721,0.612,6,6,1.0,90.0,150,0.263,0.206,0.263,100,0,,False,True,0.0,none,0,0,0
31,72,federation,500,True,True,0.844,1.0,1.0,46,47,0.271,0.417,12,5,0.05,0.675,0.581,6,6,1.0,90.0,152,0.278,0.217,0.278,100,0,,False,True,0.0,none,0,0,0
32,73,federation,500,True,True,0.861,1.0,1.0,38,38,0.409,0.733,15,11,0.05,0.715,0.62,6,6,1.0,90.0,115,0.29,0.229,0.29,100,0,,False,True,0.0,none,0,0,0
33,74,federation,500,True,True,0.792,1.0,1.0,46,47,0.261,0.792,24,19,0.05,0.676,0.593,6,6,1.0,90.0,150,0.254,0.215,0.254,100,0,,False,True,0.0,none,0,0,0
34,75,federation,500,True,True,0.656,1.0,1.0,47,48,0.304,0.75,24,18,0.05,0.469,0.448,6,6,1.0,90.0,140,0.218,0.183,0.218,100,0,,False,True,0.0,none,0,0,0
35,76,federation,500,True,True,0.671,1.0,1.0,38,39,0.424,0.64,25,16,0.05,0.522,0.495,6,6,1.0,90.0,125,0.249,0.184,0.249,100,0,,False,True,0.0,none,0,0,0
36,77,federation,500,False,False,0.402,1.0,1.0,53,53,0.121,0.811,37,30,0.05,0.258,0.321,6,6,1.0,90.0,147,0.148,0.129,0.148,100,0,,False,True,0.0,none,0,0,0
37,78,federation,500,True,True,0.891,1.0,1.0,35,36,0.441,0.667,21,14,0.05,0.704,0.592,6,6,1.0,90.0,127,0.295,0.223,0.295,100,0,,False,True,0.0,none,0,0,0
38,79,federation,500,True,True,0.753,1.0,1.0,47,48,0.197,0.654,26,17,0.05,0.581,0.525,6,6,1.0,90.0,156,0.21,0.172,0.21,100,0,,False,True,0.0,none,0,0,0
39,80,federation,500,True,True,0.839,1.0,1.0,46,47,0.217,0.773,22,17,0.05,0.657,0.574,6,6,1.0,90.0,142,0.234,0.184,0.234,100,0,,False,True,0.0,none,0,0,0
40,81,federation,500,True,True,0.778,1.0,1.0,38,39,0.406,0.526,19,10,0.05,0.593,0.527,6,6,1.0,90.0,121,0.267,0.213,0.267,100,0,,False,True,0.0,none,0,0,0
41,82,federation,500,True,True,0.896,1.0,1.0,30,31,0.552,0.8,15,12,0.05,0.71,0.603,6,6,1.0,90.0,102,0.33,0.252,0.33,100,0,,False,True,0.0,none,0,0,0
42,83,federation,500,True,True,0.885,1.0,1.0,41,41,0.279,0.65,20,13,0.05,0.726,0.625,6,6,1.0,90.0,109,0.281,0.219,0.281,100,0,,False,True,0.0,none,0,0,0
43,84,federation,500,True,True,0.843,1.0,1.0,40,41,0.403,0.684,19,13,0.05,0.67,0.586,6,6,1.0,90.0,127,0.243,0.183,0.243,100,0,,False,True,0.0,none,0,0,0
44,85,federation,500,True,True,0.744,1.0,1.0,51,52,0.232,0.833,24,20,0.05,0.59,0.534,6,6,1.0,90.0,144,0.196,0.163,0.196,100,0,,False,True,0.0,none,0,0,0
45,86,federation,500,True,True,0.633,1.0,1.0,40,41,0.412,0.833,24,20,0.05,0.469,0.446,6,6,1.0,90.0,129,0.23,0.18,0.23,100,0,,False,True,0.0,none,0,0,0
46,87,federation,500,True,True,0.729,1.0,1.0,53,53,0.212,0.786,28,22,0.05,0.62,0.559,6,6,1.0,90.0,150,0.196,0.151,0.196,100,0,,False,True,0.0,none,0,0,0
47,88,federation,500,True,True,0.659,1.0,1.0,50,51,0.254,0.577,26,15,0.05,0.481,0.462,6,6,1.0,90.0,157,0.182,0.161,0.182,100,0,,False,True,0.0,none,0,0,0
48,89,federation,500,True,True,0.722,1.0,1.0,43,44,0.377,0.654,26,17,0.05,0.579,0.537,6,6,1.0,90.0,137,0.234,0.205,0.234,100,0,,False,True,0.0,none,0,0,0
49,90,federation,500,True,True,0.787,1.0,1.0,42,44,0.2,0.652,23,15,0.05,0.595,0.539,6,6,1.0,90.0,134,0.223,0.193,0.223,100,0,,False,True,0.0,none,0,0,0
50,91,federation,500,True,True,0.54,1.0,1.0,50,51,0.242,0.48,25,12,0.05,0.388,0.396,6,6,1.0,90.0,151,0.2,0.182,0.2,100,0,,False,True,0.0,none,0,0,0
51,92,federation,500,True,True,0.806,1.0,1.0,43,43,0.382,0.727,22,16,0.05,0.629,0.551,6,6,1.0,90.0,137,0.239,0.193,0.239,100,0,,False,True,0.0,none,0,0,0
52,93,federation,500,False,False,0.356,1.0,1.0,59,60,0.103,0.667,36,24,0.05,0.233,0.298,6,6,1.0,90.0,148,0.144,0.144,0.144,100,0,,False,True,0.0,none,0,0,0
53,94,federation,500,True,True,0.87,1.0,1.0,42,43,0.391,0.571,14,8,0.05,0.648,0.55,6,6,1.0,90.0,147,0.238,0.206,0.238,100,0,,False,True,0.0,none,0,0,0
54,95,federation,500,True,True,0.821,1.0,1.0,40,41,0.403,0.65,20,13,0.05,0.657,0.579,6,6,1.0,90.0,130,0.277,0.216,0.277,100,0,,False,True,0.0,none,0,0,0
55,96,federation,500,False,False,0.126,1.0,1.0,67,67,0.015,0.786,56,44,0.05,0.023,0.096,6,6,1.0,90.0,180,0.023,0.094,0.023,100,0,,False,True,0.0,none,0,0,0
56,97,federation,500,False,False,0.296,1.0,1.0,58,59,0.09,0.756,41,31,0.05,0.177,0.256,6,6,1.0,90.0,151,0.115,0.123,0.115,100,0,,False,True,0.0,none,0,0,0
57,98,federation,500,True,True,0.693,1.0,1.0,38,39,0.433,0.696,23,16,0.05,0.527,0.484,6,6,1.0,90.0,141,0.24,0.192,0.24,100,0,,False,True,0.0,none,0,0,0
58,99,federation,500,False,False,0.49,1.0,1.0,50,52,0.143,0.724,29,21,0.05,0.339,0.358,6,6,1.0,90.0,166,0.147,0.146,0.147,100,0,,False,True,0.0,none,0,0,0
59,100,federation,500,True,True,0.747,1.0,1.0,45,46,0.318,0.724,29,21,0.05,0.613,0.551,6,6,1.0,90.0,130,0.198,0.169,0.198,100,0,,False,True,0.0,none,0,0,0
60,101,federation,500,True,True,0.728,1.0,1.0,38,39,0.441,0.692,26,18,0.05,0.606,0.556,6,6,1.0,90.0,122,0.263,0.216,0.263,100,0,,False,True,0.0,none,0,0,0
61,102,federation,500,True,True,0.868,1.0,1.0,33,35,0.403,0.625,16,10,0.05,0.696,0.605,6,6,1.0,90.0,99,0.312,0.242,0.312,100,0,,False,True,0.0,none,0,0,0
62,103,federation,500,True,True,0.68,1.0,1.0,52,52,0.227,0.591,22,13,0.05,0.524,0.483,6,6,1.0,90.0,152,0.181,0.151,0.181,100,0,,False,True,0.0,none,0,0,0
63,104,federation,500,True,True,0.715,1.0,1.0,44,44,0.308,0.696,23,16,0.05,0.542,0.497,6,6,1.0,90.0,133,0.226,0.18,0.226,100,0,,False,True,0.0,none,0,0,0
64,105,federation,500,True,True,0.879,1.0,1.0,36,37,0.369,0.636,11,7,0.05,0.68,0.574,6,6,1.0,90.0,131,0.306,0.235,0.306,100,0,,False,True,0.0,none,0,0,0
65,106,federation,500,True,True,0.637,1.0,1.0,56,57,0.1,0.655,29,19,0.05,0.516,0.49,6,6,1.0,90.0,151,0.177,0.153,0.177,100,0,,False,True,0.0,none,0,0,0
66,107,federation,500,True,True,0.707,1.0,1.0,40,41,0.358,0.667,21,14,0.05,0.501,0.461,6,6,1.0,90.0,140,0.226,0.189,0.226,100,0,,False,True,0.0,none,0,0,0
67,108,federation,500,True,True,0.771,1.0,1.0,40,41,0.412,0.773,22,17,0.05,0.586,0.524,6,6,1.0,110.0,136,0.225,0.181,0.225,100,0,,False,True,0.0,none,0,0,0
68,109,federation,500,True,True,0.833,1.0,1.0,44,44,0.338,0.6,20,12,0.05,0.627,0.539,6,6,1.0,90.0,160,0.213,0.173,0.213,100,0,,False,True,0.0,none,0,0,0
69,110,federation,500,False,False,0.373,1.0,1.0,46,47,0.313,0.886,35,31,0.05,0.223,0.282,6,6,1.0,90.0,157,0.199,0.173,0.199,100,0,,False,True,0.0,none,0,0,0
70,111,federation,500,True,True,0.873,1.0,1.0,44,45,0.343,0.538,13,7,0.05,0.743,0.637,6,6,1.0,90.0,132,0.27,0.208,0.27,100,0,,False,True,0.0,none,0,0,0
