run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
49,90,random,500,True,True,0.936,1.0,1.0,28,30,0.559,0.0,3,0,0.2,0.804,0.753,6,6,1.0,90.0,112,0.381,0.314,0.381,100,0,,False,True,0.0,none,0,0,0
50,91,random,500,True,True,0.928,1.0,1.0,24,25,0.636,0.167,6,1,0.2,0.75,0.697,6,6,1.0,90.0,120,0.364,0.303,0.364,100,0,,False,True,0.0,none,0,0,0
51,92,random,500,True,True,0.969,1.0,1.0,19,20,0.729,0.5,4,2,0.2,0.873,0.806,6,6,1.0,93.333,92,0.413,0.343,0.413,100,0,,False,True,0.0,none,0,0,0
52,93,random,500,True,True,0.928,1.0,1.0,22,23,0.672,0.444,9,4,0.2,0.742,0.693,6,6,1.0,90.0,103,0.357,0.298,0.357,100,0,,False,True,0.0,none,0,0,0
53,94,random,500,True,True,0.952,1.0,1.0,15,16,0.783,0.333,3,1,0.2,0.77,0.705,6,6,1.0,90.0,110,0.394,0.318,0.394,100,0,,False,True,0.0,none,0,0,0
54,95,random,500,True,True,0.961,1.0,1.0,17,18,0.757,0.0,5,0,0.2,0.839,0.771,6,6,1.0,90.0,88,0.402,0.317,0.402,100,0,,False,True,0.0,none,0,0,0
55,96,random,500,True,True,0.925,1.0,1.0,27,30,0.592,0.444,9,4,0.2,0.755,0.714,6,6,1.0,91.667,107,0.339,0.277,0.339,100,0,,False,True,0.0,none,0,0,0
56,97,random,500,True,True,0.932,1.0,1.0,37,38,0.439,0.467,15,7,0.2,0.769,0.735,6,6,1.0,90.0,132,0.286,0.24,0.286,100,0,,False,True,0.0,none,0,0,0
57,98,random,500,True,True,0.94,1.0,1.0,20,22,0.687,0.167,6,1,0.2,0.72,0.667,6,6,1.0,90.0,98,0.371,0.309,0.371,100,0,,False,True,0.0,none,0,0,0
58,99,random,500,True,True,0.898,1.0,1.0,25,26,0.6,0.375,8,3,0.2,0.678,0.636,6,6,1.0,90.0,138,0.324,0.264,0.324,100,0,,False,True,0.0,none,0,0,0
