run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
43,84,small-world,500,True,True,0.955,1.0,1.0,32,33,0.219,0.143,7,1,0.1,0.796,0.71,6,6,1.0,91.667,84,0.379,0.309,0.379,100,0,,False,True,0.0,none,0,0,0
44,85,small-world,500,True,True,0.947,1.0,1.0,32,33,0.294,0.333,9,3,0.1,0.873,0.81,6,6,1.0,95.0,81,0.452,0.379,0.452,100,0,,False,True,0.0,none,0,0,0
45,86,small-world,500,True,True,0.949,1.0,1.0,37,38,0.3,0.5,8,4,0.1,0.811,0.743,6,6,1.0,90.0,93,0.396,0.32,0.396,100,0,,False,True,0.0,none,0,0,0
46,87,small-world,500,True,True,0.956,1.0,1.0,27,28,0.603,0.2,5,1,0.1,0.809,0.727,6,6,1.0,90.0,86,0.418,0.328,0.418,100,0,,False,True,0.0,none,0,0,0
47,88,small-world,500,True,True,0.96,1.0,1.0,30,31,0.388,0.444,9,4,0.1,0.849,0.771,6,6,1.0,90.0,88,0.408,0.355,0.408,100,0,,False,True,0.0,none,0,0,0
48,89,small-world,500,True,True,0.954,1.0,1.0,35,36,0.478,0.667,9,6,0.1,0.86,0.771,6,6,1.0,90.0,92,0.344,0.28,0.344,100,0,,False,True,0.0,none,0,0,0
49,90,small-world,500,True,True,0.938,1.0,1.0,30,28,0.556,0.333,6,2,0.1,0.775,0.691,6,6,1.0,91.667,81,0.364,0.299,0.364,100,0,,False,True,0.0,none,0,0,0
50,91,small-world,500,True,True,0.947,1.0,1.0,25,26,0.612,0.625,8,5,0.1,0.813,0.73,6,6,1.0,90.0,72,0.403,0.329,0.403,100,0,,False,True,0.0,none,0,0,0
51,92,small-world,500,True,True,0.95,1.0,1.0,25,26,0.343,0.0,3,0,0.1,0.828,0.75,6,6,1.0,103.333,72,0.462,0.375,0.462,100,0,,False,True,0.0,none,0,0,0
52,93,small-world,500,True,True,0.949,1.0,1.0,33,34,0.397,0.273,11,3,0.1,0.849,0.777,6,6,1.0,90.0,86,0.401,0.337,0.401,100,0,,False,True,0.0,none,0,0,0
53,94,small-world,500,True,True,0.965,1.0,1.0,33,34,0.275,0.25,8,2,0.1,0.85,0.775,6,6,1.0,91.667,85,0.406,0.338,0.406,100,0,,False,True,0.0,none,0,0,0
54,95,small-world,500,True,True,0.948,1.0,1.0,29,30,0.309,0.4,5,2,0.1,0.85,0.769,6,6,1.0,90.0,82,0.429,0.346,0.429,100,0,,False,True,0.0,none,0,0,0
55,96,small-world,500,True,True,0.944,1.0,1.0,31,31,0.197,0.667,12,8,0.1,0.798,0.719,6,6,1.0,90.0,84,0.377,0.301,0.377,100,0,,False,True,0.0,none,0,0,0
56,97,small-world,500,True,True,0.899,1.0,1.0,41,41,0.138,0.526,19,10,0.1,0.741,0.68,6,6,1.0,90.0,97,0.334,0.284,0.334,100,0,,False,True,0.0,none,0,0,0
57,98,small-world,500,True,True,0.962,1.0,1.0,32,33,0.254,0.25,8,2,0.1,0.803,0.714,6,6,1.0,90.0,89,0.361,0.291,0.361,100,0,,False,True,0.0,none,0,0,0
58,99,small-world,500,True,True,0.967,1.0,1.0,27,27,0.403,0.5,12,6,0.1,0.813,0.721,6,6,1.0,90.0,79,0.384,0.317,0.384,100,0,,False,True,0.0,none,0,0,0
59,100,small-world,500,True,True,0.955,1.0,1.0,26,27,0.606,0.4,5,2,0.1,0.762,0.672,6,6,1.0,91.667,81,0.376,0.302,0.376,100,0,,False,True,0.0,none,0,0,0
60,101,small-world,500,True,True,0.937,1.0,1.0,30,31,0.531,0.444,9,4,0.1,0.784,0.715,6,6,1.0,91.667,78,0.374,0.3,0.374,100,0,,False,True,0.0,none,0,0,0
61,102,small-world,500,True,True,0.962,1.0,1.0,21,22,0.313,0.5,6,3,0.1,0.874,0.789,6,6,1.0,90.0,59,0.49,0.4,0.49,100,0,,False,True,0.0,none,0,0,0
62,103,small-world,500,True,True,0.964,1.0,1.0,23,23,0.681,0.0,2,0,0.1,0.814,0.729,6,6,1.0,95.0,65,0.443,0.351,0.443,100,0,,False,True,0.0,none,0,0,0
63,104,small-world,500,True,True,0.953,1.0,1.0,36,37,0.368,0.455,11,5,0.1,0.815,0.739,6,6,1.0,90.0,90,0.362,0.296,0.362,100,0,,False,True,0.0,none,0,0,0
64,105,small-world,500,True,True,0.953,1.0,1.0,24,25,0.642,0.0,2,0,0.1,0.831,0.744,6,6,1.0,91.667,72,0.458,0.37,0.458,100,0,,False,True,0.0,none,0,0,0
65,106,small-world,500,True,True,0.935,1.0,1.0,32,32,0.172,0.5,10,5,0.1,0.785,0.706,6,6,1.0,90.0,93,0.392,0.316,0.392,100,0,,False,True,0.0,none,0,0,0
66,107,small-world,500,True,True,0.926,1.0,1.0,27,28,0.577,0.5,4,2,0.1,0.795,0.726,6,6,1.0,101.667,81,0.416,0.34,0.416,100,0,,False,True,0.0,none,0,0,0
67,108,small-world,500,True,True,0.959,1.0,1.0,28,29,0.297,0.0,5,0,0.1,0.81,0.722,6,6,1.0,93.333,75,0.393,0.326,0.393,100,0,,False,True,0.0,none,0,0,0
68,109,small-world,500,True,True,0.927,1.0,1.0,20,21,0.493,0.0,2,0,0.1,0.754,0.665,6,6,1.0,95.0,59,0.427,0.349,0.427,100,0,,False,True,0.0,none,0,0,0
69,110,small-world,500,True,True,0.963,1.0,1.0,24,25,0.448,0.5,6,3,0.1,0.831,0.742,6,6,1.0,91.667,65,0.436,0.367,0.436,100,0,,False,True,0.0,none,0,0,0
70,111,small-world,500,True,True,0.968,1.0,1.0,23,24,0.455,0.0,3,0,0.1,0.863,0.776,6,6,1.0,91.667,65,0.473,0.374,0.473,100,0,,False,True,0.0,none,0,0,0
71,112,small-world,500,True,True,0.968,1.0,1.0,27,28,0.536,0.5,4,2,0.1,0.846,0.756,6,6,1.0,90.0,75,0.435,0.367,0.435,100,0,,False,True,0.0,none,0,0,0
72,113,small-world,500,True,True,0.94,1.0,1.0,37,38,0.385,0.333,9,3,0.1,0.811,0.74,6,6,1.0,91.667,94,0.356,0.288,0.356,100,0,,False,True,0.0,none,0,0,0
73,114,small-world,500,True,True,0.947,1.0,1.0,28,29,0.551,0.0,5,0,0.1,0.836,0.751,6,6,1.0,95.0,86,0.44,0.349,0.44,100,0,,False,True,0.0,none,0,0,0
74,115,small-world,500,True,True,0.937,1.0,1.0,24,25,0.439,0.25,4,1,0.1,0.74,0.661,6,6,1.0,93.333,74,0.413,0.333,0.413,100,0,,False,True,0.0,none,0,0,0
75,116,small-world,500,True,True,0.964,1.0,1.0,39,40,0.239,0.5,14,7,0.1,0.857,0.772,6,6,1.0,90.0,93,0.344,0.29,0.344,100,0,,False,True,0.0,none,0,0,0
76,117,small-world,500,True,True,0.956,1.0,1.0,21,22,0.687,0.333,3,1,0.1,0.795,0.702,6,6,1.0,91.667,69,0.418,0.331,0.418,100,0,,False,True,0.0,none,0,0,0
77,118,small-world,500,True,True,0.967,1.0,1.0,27,28,0.529,0.2,5,1,0.1,0.846,0.754,6,6,1.0,90.0,79,0.414,0.339,0.414,100,0,,False,True,0.0,none,0,0,0
78,119,small-world,500,True,True,0.964,1.0,1.0,31,31,0.478,0.286,7,2,0.1,0.861,0.79,6,6,1.0,90.0,89,0.444,0.359,0.444,100,0,,False,True,0.0,none,0,0,0
79,120,small-world,500,True,True,0.967,1.0,1.0,29,30,0.271,0.571,7,4,0.1,0.838,0.739,6,6,1.0,91.667,81,0.404,0.32,0.404,100,0,,False,True,0.0,none,0,0,0
80,121,small-world,500,True,True,0.941,1.0,1.0,33,34,0.221,0.111,9,1,0.1,0.763,0.678,6,6,1.0,91.667,93,0.371,0.295,0.371,100,0,,False,True,0.0,none,0,0,0
81,122,small-world,500,True,True,0.949,1.0,1.0,22,23,0.676,0.0,3,0,0.1,0.793,0.698,6,6,1.0,90.0,79,0.427,0.341,0.427,100,0,,False,True,0.0,none,0,0,0
82,123,small-world,500,True,True,0.943,1.0,1.0,24,25,0.547,0.5,8,4,0.1,0.799,0.724,6,6,1.0,91.667,70,0.435,0.349,0.435,100,0,,False,True,0.0,none,0,0,0
83,124,small-world,500,True,True,0.951,1.0,1.0,25,26,0.441,0.25,4,1,0.1,0.794,0.702,6,6,1.0,93.333,75,0.422,0.333,0.422,100,0,,False,True,0.0,none,0,0,0
84,125,small-world,500,True,True,0.939,1.0,1.0,26,27,0.391,0.0,5,0,0.1,0.829,0.741,6,6,1.0,93.333,79,0.434,0.362,0.434,100,0,,False,True,0.0,none,0,0,0
85,126,small-world,500,True,True,0.962,1.0,1.0,29,30,0.338,0.25,4,1,0.1,0.821,0.734,6,6,1.0,91.667,78,0.407,0.333,0.407,100,0,,False,True,0.0,none,0,0,0
86,127,small-world,500,True,True,0.929,1.0,1.0,36,37,0.371,0.429,14,6,0.1,0.77,0.701,6,6,1.0,90.0,90,0.336,0.284,0.336,100,0,,False,True,0.0,none,0,0,0
87,128,small-world,500,True,True,0.924,1.0,1.0,26,27,0.418,0.2,5,1,0.1,0.785,0.705,6,6,1.0,95.0,77,0.424,0.341,0.424,100,0,,False,True,0.0,none,0,0,0
88,129,small-world,500,True,True,0.96,1.0,1.0,25,26,0.588,0.25,4,1,0.1,0.805,0.712,6,6,1.0,90.0,74,0.401,0.326,0.401,100,0,,False,True,0.0,none,0,0,0
89,130,small-world,500,True,True,0.947,1.0,1.0,32,33,0.288,0.5,8,4,0.1,0.825,0.754,6,6,1.0,90.0,83,0.415,0.329,0.415,100,0,,False,True,0.0,none,0,0,0
90,131,small-world,500,True,True,0.962,1.0,1.0,23,24,0.652,0.5,4,2,0.1,0.768,0.674,6,6,1.0,90.0,79,0.385,0.304,0.385,100,0,,False,True,0.0,none,0,0,0
91,132,small-world,500,True,True,0.952,1.0,1.0,32,33,0.299,0.6,10,6,0.1,0.833,0.754,6,6,1.0,100.0,87,0.395,0.328,0.395,100,0,,False,True,0.0,none,0,0,0
92,133,small-world,500,True,True,0.946,1.0,1.0,32,33,0.25,0.286,7,2,0.1,0.796,0.716,6,6,1.0,90.0,87,0.382,0.3,0.382,100,0,,False,True,0.0,none,0,0,0
93,134,small-world,500,True,True,0.958,1.0,1.0,22,23,0.328,0.5,4,2,0.1,0.811,0.726,6,6,1.0,90.0,65,0.455,0.364,0.455,100,0,,False,True,0.0,none,0,0,0
94,135,small-world,500,True,True,0.912,1.0,1.0,30,31,0.433,0.364,11,4,0.1,0.762,0.685,6,6,1.0,90.0,84,0.363,0.318,0.363,100,0,,False,True,0.0,none,0,0,0
95,136,small-world,500,True,True,0.936,1.0,1.0,26,27,0.522,0.2,5,1,0.1,0.766,0.692,6,6,1.0,90.0,80,0.404,0.325,0.404,100,0,,False,True,0.0,none,0,0,0
96,137,small-world,500,True,True,0.964,1.0,1.0,27,27,0.318,0.5,6,3,0.1,0.794,0.703,6,6,1.0,90.0,79,0.4,0.318,0.4,100,0,,False,True,0.0,none,0,0,0
97,138,small-world,500,True,True,0.963,1.0,1.0,17,18,0.746,0.333,3,1,0.1,0.812,0.713,6,6,1.0,91.667,54,0.461,0.372,0.461,100,0,,False,True,0.0,none,0,0,0
98,139,small-world,500,True,True,0.952,1.0,1.0,38,39,0.333,0.417,12,5,0.1,0.777,0.697,6,6,1.0,90.0,99,0.317,0.258,0.317,100,0,,False,True,0.0,none,0,0,0
99,140,small-world,500,True,True,0.944,1.0,1.0,34,35,0.381,0.571,14,8,0.1,0.828,0.761,6,6,1.0,90.0,89,0.37,0.302,0.37,100,0,,False,True,0.0,none,0,0,0
100,141,small-world,500,True,True,0.949,1.0,1.0,21,22,0.642,0.333,3,1,0.1,0.781,0.694,6,6,1.0,91.667,61,0.42,0.348,0.42,100,0,,False,True,0.0,none,0,0,0
