run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
64,105,federation,500,True,True,0.968,1.0,1.0,15,16,0.776,0.5,2,1,0.2,0.864,0.808,6,6,1.0,90.0,70,0.477,0.385,0.477,100,0,,False,True,0.0,none,0,0,0
65,106,federation,500,True,True,0.911,1.0,1.0,24,25,0.536,0.0,5,0,0.2,0.751,0.702,6,6,1.0,90.0,98,0.379,0.304,0.379,100,0,,False,True,0.0,none,0,0,0
66,107,federation,500,True,True,0.956,1.0,1.0,20,21,0.697,0.0,4,0,0.2,0.798,0.74,6,6,1.0,90.0,83,0.405,0.331,0.405,100,0,,False,True,0.0,none,0,0,0
67,108,federation,500,True,True,0.956,1.0,1.0,25,26,0.515,0.333,6,2,0.2,0.828,0.77,6,6,1.0,110.0,105,0.388,0.307,0.388,100,0,,False,True,0.0,none,0,0,0
68,109,federation,500,True,True,0.946,1.0,1.0,15,16,0.776,0.0,2,0,0.2,0.782,0.71,6,6,1.0,90.0,75,0.433,0.346,0.433,100,0,,False,True,0.0,none,0,0,0
69,110,federation,500,True,True,0.95,1.0,1.0,28,28,0.606,0.571,7,4,0.2,0.802,0.748,6,6,1.0,90.0,119,0.367,0.305,0.367,100,0,,False,True,0.0,none,0,0,0
70,111,federation,500,True,True,0.967,1.0,1.0,17,18,0.746,0.0,1,0,0.2,0.871,0.821,6,6,1.0,90.0,79,0.45,0.355,0.45,100,0,,False,True,0.0,none,0,0,0
71,112,federation,500,True,True,0.967,1.0,1.0,26,27,0.639,0.333,3,1,0.2,0.89,0.851,6,6,1.0,90.0,94,0.439,0.363,0.439,100,0,,False,True,0.0,none,0,0,0
72,113,federation,500,True,True,0.946,1.0,1.0,25,26,0.638,0.5,8,4,0.2,0.787,0.74,6,6,1.0,90.0,96,0.37,0.295,0.37,100,0,,False,True,0.0,none,0,0,0
73,114,federation,500,True,True,0.964,1.0,1.0,21,22,0.687,0.75,4,3,0.2,0.791,0.735,6,6,1.0,90.0,85,0.383,0.302,0.383,100,0,,False,True,0.0,none,0,0,0
74,115,federation,500,True,True,0.954,1.0,1.0,16,17,0.761,0.0,1,0,0.2,0.783,0.716,6,6,1.0,90.0,83,0.421,0.344,0.421,100,0,,False,True,0.0,none,0,0,0
75,116,federation,500,True,True,0.927,1.0,1.0,35,36,0.471,0.444,9,4,0.2,0.768,0.732,6,6,1.0,90.0,133,0.303,0.239,0.303,100,0,,False,True,0.0,none,0,0,0
76,117,federation,500,True,True,0.97,1.0,1.0,19,21,0.7,0.0,1,0,0.2,0.888,0.829,6,6,1.0,90.0,83,0.459,0.369,0.459,100,0,,False,True,0.0,none,0,0,0
77,118,federation,500,True,True,0.96,1.0,1.0,23,24,0.646,0.667,6,4,0.2,0.847,0.789,6,6,1.0,90.0,91,0.406,0.338,0.406,100,0,,False,True,0.0,none,0,0,0
