run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
34,75,federation,500,True,True,0.673,1.0,1.0,0,1,1.0,0.75,16,12,0.05,0.373,0.3,6,0.373,0.3,0.373,100,0,,False,True,0.0,none,0,0,0
35,76,federation,500,True,True,0.804,1.0,1.0,0,1,1.0,0.5,8,4,0.05,0.498,0.381,6,0.498,0.381,0.498,100,0,,False,True,0.0,none,0,0,0
36,77,federation,500,True,True,0.682,1.0,1.0,0,1,1.0,0.769,13,10,0.05,0.317,0.215,6,0.317,0.215,0.317,100,0,,False,True,0.0,none,0,0,0
37,78,federation,500,True,True,0.723,1.0,1.0,0,1,1.0,0.571,14,8,0.05,0.465,0.374,6,0.465,0.374,0.465,100,0,,False,True,0.0,none,0,0,0
38,79,federation,500,True,True,0.69,1.0,1.0,0,1,1.0,0.6,15,9,0.05,0.407,0.323,6,0.407,0.323,0.407,100,0,,False,True,0.0,none,0,0,0
39,80,federation,500,True,True,0.772,1.0,1.0,0,1,1.0,0.667,12,8,0.05,0.487,0.382,6,0.487,0.382,0.487,100,0,,False,True,0.0,none,0,0,0
40,81,federation,500,True,True,0.779,1.0,1.0,0,1,1.0,0.556,9,5,0.05,0.499,0.386,6,0.499,0.386,0.499,100,0,,False,True,0.0,none,0,0,0
41,82,federation,500,True,True,0.789,1.0,1.0,0,1,1.0,0.143,7,1,0.05,0.484,0.365,6,0.484,0.365,0.484,100,0,,False,True,0.0,none,0,0,0
42,83,federation,500,True,True,0.784,1.0,1.0,0,1,1.0,0.2,5,1,0.05,0.434,0.318,6,0.434,0.318,0.434,100,0,,False,True,0.0,none,0,0,0
43,84,federation,500,True,True,0.793,1.0,1.0,0,1,1.0,0.727,11,8,0.05,0.534,0.422,6,0.534,0.422,0.534,100,0,,False,True,0.0,none,0,0,0
44,85,federation,500,True,True,0.781,1.0,1.0,1,2,0.985,0.636,11,7,0.05,0.473,0.359,6,0.473,0.359,0.473,100,0,,False,True,0.0,none,0,0,0
45,86,federation,500,True,True,0.713,1.0,1.0,0,1,1.0,0.583,12,7,0.05,0.42,0.337,6,0.42,0.337,0.42,100,0,,False,True,0.0,none,0,0,0
46,87,federation,500,True,True,0.736,1.0,1.0,0,1,1.0,0.692,13,9,0.05,0.5,0.406,6,0.5,0.406,0.5,100,0,,False,True,0.0,none,0,0,0
47,88,federation,500,True,True,0.739,1.0,1.0,0,1,1.0,0.455,11,5,0.05,0.403,0.292,6,0.403,0.292,0.403,100,0,,False,True,0.0,none,0,0,0
48,89,federation,500,True,True,0.76,1.0,1.0,0,1,1.0,0.636,11,7,0.05,0.504,0.407,6,0.504,0.407,0.504,100,0,,False,True,0.0,none,0,0,0
49,90,federation,500,True,True,0.717,1.0,1.0,0,2,0.985,0.455,11,5,0.05,0.4,0.298,6,0.4,0.298,0.4,100,0,,False,True,0.0,none,0,0,0
50,91,federation,500,True,True,0.697,1.0,1.0,0,1,1.0,0.769,13,10,0.05,0.339,0.233,6,0.339,0.233,0.339,100,0,,False,True,0.0,none,0,0,0
51,92,federation,500,True,True,0.838,1.0,1.0,0,1,1.0,0.5,2,1,0.05,0.501,0.374,6,0.501,0.374,0.501,100,0,,False,True,0.0,none,0,0,0
52,93,federation,500,True,True,0.729,1.0,1.0,0,1,1.0,0.786,14,11,0.05,0.444,0.345,6,0.444,0.345,0.444,100,0,,False,True,0.0,none,0,0,0
53,94,federation,500,True,True,0.781,1.0,1.0,0,1,1.0,0.375,8,3,0.05,0.458,0.346,6,0.458,0.346,0.458,100,0,,False,True,0.0,none,0,0,0
54,95,federation,500,True,True,0.813,1.0,1.0,0,1,1.0,0.714,7,5,0.05,0.448,0.32,6,0.448,0.32,0.448,100,0,,False,True,0.0,none,0,0,0
55,96,federation,500,True,True,0.616,1.0,1.0,0,1,1.0,0.625,16,10,0.05,0.279,0.204,6,0.279,0.204,0.279,100,0,,False,True,0.0,none,0,0,0
56,97,federation,500,True,True,0.695,1.0,1.0,0,1,1.0,0.733,15,11,0.05,0.467,0.378,6,0.467,0.378,0.467,100,0,,False,True,0.0,none,0,0,0
57,98,federation,500,True,True,0.784,1.0,1.0,0,1,1.0,0.5,10,5,0.05,0.454,0.337,6,0.454,0.337,0.454,100,0,,False,True,0.0,none,0,0,0
58,99,federation,500,True,True,0.718,1.0,1.0,0,2,0.985,0.833,12,10,0.05,0.454,0.356,6,0.454,0.356,0.454,100,0,,False,True,0.0,none,0,0,0
59,100,federation,500,True,True,0.761,1.0,1.0,0,1,1.0,0.5,10,5,0.05,0.386,0.276,6,0.386,0.276,0.386,100,0,,False,True,0.0,none,0,0,0
60,101,federation,500,True,True,0.651,1.0,1.0,0,1,1.0,0.833,18,15,0.05,0.38,0.293,6,0.38,0.293,0.38,100,0,,False,True,0.0,none,0,0,0
61,102,federation,500,True,True,0.721,1.0,1.0,0,2,0.985,0.692,13,9,0.05,0.485,0.389,6,0.485,0.389,0.485,100,0,,False,True,0.0,none,0,0,0
62,103,federation,500,True,True,0.756,1.0,1.0,0,1,1.0,0.333,9,3,0.05,0.438,0.326,6,0.438,0.326,0.438,100,0,,False,True,0.0,none,0,0,0
63,104,federation,500,True,True,0.755,1.0,1.0,0,1,1.0,0.727,11,8,0.05,0.499,0.397,6,0.499,0.397,0.499,100,0,,False,True,0.0,none,0,0,0
64,105,federation,500,True,True,0.77,1.0,1.0,0,1,1.0,0.75,8,6,0.05,0.476,0.371,6,0.476,0.371,0.476,100,0,,False,True,0.0,none,0,0,0
65,106,federation,500,True,True,0.771,1.0,1.0,0,1,1.0,0.25,8,2,0.05,0.352,0.239,6,0.352,0.239,0.352,100,0,,False,True,0.0,none,0,0,0
66,107,federation,500,True,True,0.752,1.0,1.0,0,1,1.0,0.583,12,7,0.05,0.405,0.292,6,0.405,0.292,0.405,100,0,,False,True,0.0,none,0,0,0
67,108,federation,500,True,True,0.757,1.0,1.0,0,1,1.0,0.455,11,5,0.05,0.406,0.293,6,0.406,0.293,0.406,100,0,,False,True,0.0,none,0,0,0
68,109,federation,500,True,True,0.82,1.0,1.0,0,1,1.0,0.429,7,3,0.05,0.513,0.39,6,0.513,0.39,0.513,100,0,,False,True,0.0,none,0,0,0
69,110,federation,500,True,True,0.746,1.0,1.0,0,1,1.0,0.7,10,7,0.05,0.473,0.376,6,0.473,0.376,0.473,100,0,,False,True,0.0,none,0,0,0
70,111,federation,500,True,True,0.771,1.0,1.0,0,1,1.0,0.778,9,7,0.05,0.519,0.413,6,0.519,0.413,0.519,100,0,,False,True,0.0,none,0,0,0
71,112,federation,500,True,True,0.823,1.0,1.0,0,1,1.0,0.5,8,4,0.05,0.563,0.452,6,0.563,0.452,0.563,100,0,,False,True,0.0,none,0,0,0
72,113,federation,500,True,True,0.705,1.0,1.0,0,1,1.0,0.714,14,10,0.05,0.464,0.369,6,0.464,0.369,0.464,100,0,,False,True,0.0,none,0,0,0
