run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,True,True,0.825,1.0,1.0,0,1,1.0,0.167,6,1,0.1,0.497,0.378,6,0.496,0.378,0.496,100,0,,False,True,0.0,none,0,0,0
2,43,scale-free,500,True,True,0.825,1.0,1.0,0,1,1.0,0.333,6,2,0.1,0.514,0.401,6,0.514,0.401,0.514,100,0,,False,True,0.0,none,0,0,0
3,44,scale-free,500,True,True,0.831,1.0,1.0,0,1,1.0,0.25,4,1,0.1,0.501,0.386,6,0.501,0.386,0.501,100,0,,False,True,0.0,none,0,0,0
4,45,scale-free,500,True,True,0.821,1.0,1.0,0,1,1.0,0.5,8,4,0.1,0.546,0.441,6,0.546,0.441,0.546,100,0,,False,True,0.0,none,0,0,0
5,46,scale-free,500,True,True,0.851,1.0,1.0,0,1,1.0,0.333,6,2,0.1,0.553,0.438,6,0.553,0.438,0.553,100,0,,False,True,0.0,none,0,0,0
6,47,scale-free,500,True,True,0.785,1.0,1.0,0,1,1.0,0.455,11,5,0.1,0.453,0.349,6,0.453,0.349,0.453,100,0,,False,True,0.0,none,0,0,0
7,48,scale-free,500,True,True,0.867,1.0,1.0,0,1,1.0,0.286,7,2,0.1,0.613,0.505,6,0.613,0.502,0.613,100,0,,False,True,0.0,none,0,0,0
8,49,scale-free,500,True,True,0.845,1.0,1.0,0,1,1.0,0.2,5,1,0.1,0.605,0.497,6,0.602,0.487,0.602,100,0,,False,True,0.0,none,0,0,0
9,50,scale-free,500,True,True,0.876,1.0,1.0,0,1,1.0,0.5,2,1,0.1,0.573,0.448,6,0.573,0.448,0.573,100,0,,False,True,0.0,none,0,0,0
10,51,scale-free,500,True,True,0.788,1.0,1.0,0,1,1.0,0.6,10,6,0.1,0.533,0.439,6,0.525,0.424,0.525,100,0,,False,True,0.0,none,0,0,0
11,52,scale-free,500,True,True,0.862,1.0,1.0,0,1,1.0,0.4,5,2,0.1,0.557,0.425,6,0.557,0.425,0.557,100,0,,False,True,0.0,none,0,0,0
12,53,scale-free,500,True,True,0.867,1.0,1.0,0,1,1.0,0.714,7,5,0.1,0.658,0.549,6,0.62,0.519,0.62,100,0,,False,True,0.0,none,0,0,0
13,54,scale-free,500,True,True,0.85,1.0,1.0,0,1,1.0,0.5,2,1,0.1,0.569,0.45,6,0.569,0.45,0.569,100,0,,False,True,0.0,none,0,0,0
14,55,scale-free,500,True,True,0.871,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.535,0.413,6,0.535,0.413,0.535,100,0,,False,True,0.0,none,0,0,0
15,56,scale-free,500,True,True,0.857,1.0,1.0,0,1,1.0,0.5,6,3,0.1,0.649,0.546,6,0.637,0.525,0.637,100,0,,False,True,0.0,none,0,0,0
16,57,scale-free,500,True,True,0.832,1.0,1.0,0,1,1.0,0.5,6,3,0.1,0.637,0.543,6,0.623,0.525,0.623,100,0,,False,True,0.0,none,0,0,0
17,58,scale-free,500,True,True,0.916,1.0,1.0,0,1,1.0,0.667,3,2,0.1,0.677,0.557,6,0.622,0.512,0.622,100,0,,False,True,0.0,none,0,0,0
18,59,scale-free,500,True,True,0.86,1.0,1.0,0,1,1.0,0.333,3,1,0.1,0.597,0.479,6,0.597,0.479,0.597,100,0,,False,True,0.0,none,0,0,0
19,60,scale-free,500,True,True,0.907,1.0,1.0,0,1,1.0,0.333,3,1,0.1,0.656,0.537,6,0.651,0.532,0.651,100,0,,False,True,0.0,none,0,0,0
20,61,scale-free,500,True,True,0.818,1.0,1.0,0,1,1.0,0.286,7,2,0.1,0.496,0.383,6,0.494,0.379,0.494,100,0,,False,True,0.0,none,0,0,0
21,62,scale-free,500,True,True,0.884,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.567,0.442,6,0.562,0.44,0.562,100,0,,False,True,0.0,none,0,0,0
22,63,scale-free,500,True,True,0.733,1.0,1.0,0,1,1.0,0.583,12,7,0.1,0.459,0.365,6,0.459,0.365,0.459,100,0,,False,True,0.0,none,0,0,0
23,64,scale-free,500,True,True,0.841,1.0,1.0,0,1,1.0,0.25,4,1,0.1,0.495,0.38,6,0.495,0.38,0.495,100,0,,False,True,0.0,none,0,0,0
24,65,scale-free,500,True,True,0.867,1.0,1.0,0,1,1.0,0.5,4,2,0.1,0.565,0.435,6,0.565,0.435,0.565,100,0,,False,True,0.0,none,0,0,0
25,66,scale-free,500,True,True,0.912,1.0,1.0,0,1,1.0,0.5,2,1,0.1,0.622,0.492,6,0.622,0.492,0.622,100,0,,False,True,0.0,none,0,0,0
26,67,scale-free,500,True,True,0.858,1.0,1.0,0,1,1.0,0.429,7,3,0.1,0.596,0.487,6,0.596,0.487,0.596,100,0,,False,True,0.0,none,0,0,0
27,68,scale-free,500,True,True,0.828,1.0,1.0,0,1,1.0,0.429,7,3,0.1,0.601,0.493,6,0.601,0.493,0.601,100,0,,False,True,0.0,none,0,0,0
28,69,scale-free,500,True,True,0.828,1.0,1.0,0,1,1.0,0.375,8,3,0.1,0.587,0.49,6,0.587,0.485,0.587,100,0,,False,True,0.0,none,0,0,0
29,70,scale-free,500,True,True,0.886,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.572,0.45,6,0.572,0.45,0.572,100,0,,False,True,0.0,none,0,0,0
30,71,scale-free,500,True,True,0.843,1.0,1.0,0,1,1.0,0.667,6,4,0.1,0.559,0.449,6,0.558,0.449,0.558,100,0,,False,True,0.0,none,0,0,0
31,72,scale-free,500,True,True,0.856,1.0,1.0,0,1,1.0,0.125,8,1,0.1,0.631,0.507,6,0.621,0.504,0.621,100,0,,False,True,0.0,none,0,0,0
32,73,scale-free,500,True,True,0.852,1.0,1.0,0,1,1.0,0.2,5,1,0.1,0.555,0.429,6,0.555,0.429,0.555,100,0,,False,True,0.0,none,0,0,0
