run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
88,129,small-world,500,True,True,0.744,1.0,1.0,0,1,1.0,0.727,11,8,0.05,0.493,0.392,6,0.493,0.392,0.493,100,0,,False,True,0.0,none,0,0,0
89,130,small-world,500,True,True,0.755,1.0,1.0,0,1,1.0,0.667,12,8,0.05,0.541,0.457,6,0.541,0.453,0.541,100,0,,False,True,0.0,none,0,0,0
90,131,small-world,500,True,True,0.719,1.0,1.0,0,1,1.0,0.636,11,7,0.05,0.429,0.331,6,0.429,0.331,0.429,100,0,,False,True,0.0,none,0,0,0
91,132,small-world,500,True,True,0.698,1.0,1.0,0,1,1.0,0.824,17,14,0.05,0.494,0.409,6,0.494,0.409,0.494,100,0,,False,True,0.0,none,0,0,0
92,133,small-world,500,True,True,0.702,1.0,1.0,0,1,1.0,0.5,12,6,0.05,0.441,0.357,6,0.441,0.357,0.441,100,0,,False,True,0.0,none,0,0,0
93,134,small-world,500,True,True,0.746,1.0,1.0,0,1,1.0,0.429,7,3,0.05,0.46,0.364,6,0.46,0.364,0.46,100,0,,False,True,0.0,none,0,0,0
94,135,small-world,500,True,True,0.777,1.0,1.0,0,1,1.0,0.545,11,6,0.05,0.559,0.458,6,0.558,0.453,0.558,100,0,,False,True,0.0,none,0,0,0
95,136,small-world,500,True,True,0.715,1.0,1.0,0,1,1.0,0.688,16,11,0.05,0.505,0.422,6,0.505,0.422,0.505,100,0,,False,True,0.0,none,0,0,0
96,137,small-world,500,True,True,0.714,1.0,1.0,0,1,1.0,0.714,14,10,0.05,0.464,0.375,6,0.464,0.375,0.464,100,0,,False,True,0.0,none,0,0,0
97,138,small-world,500,True,True,0.701,1.0,1.0,0,1,1.0,0.75,16,12,0.05,0.443,0.363,6,0.443,0.363,0.443,100,0,,False,True,0.0,none,0,0,0
98,139,small-world,500,True,True,0.632,1.0,1.0,0,1,1.0,0.6,20,12,0.05,0.391,0.312,6,0.391,0.312,0.391,100,0,,False,True,0.0,none,0,0,0
99,140,small-world,500,True,True,0.717,1.0,1.0,0,1,1.0,0.562,16,9,0.05,0.481,0.395,6,0.481,0.395,0.481,100,0,,False,True,0.0,none,0,0,0
100,141,small-world,500,True,True,0.719,1.0,1.0,0,1,1.0,0.75,16,12,0.05,0.52,0.434,6,0.52,0.434,0.52,100,0,,False,True,0.0,none,0,0,0
