run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,False,False,0.06,1.0,1.0,67,65,0.015,0.758,62,47,0.0,0.0,0.003,6,6,1.0,0.0,90.0,138,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
2,43,scale-free,500,False,False,0.058,1.0,1.0,65,66,0.03,0.803,61,49,0.0,0.003,0.005,6,6,1.0,0.0,90.0,133,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
3,44,scale-free,500,False,False,0.059,1.0,1.0,66,66,0.015,0.787,61,48,0.0,0.0,0.003,6,6,1.0,0.0,90.0,134,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
4,45,scale-free,500,False,False,0.059,1.0,1.0,65,65,0.03,0.79,62,49,0.0,0.0,0.007,6,6,1.0,0.0,90.0,135,0.0,0.007,0.0,100,0,,,0,False,True,0.0,none,0,0,0
5,46,scale-free,500,False,False,0.057,1.0,1.0,68,69,0.014,0.812,64,52,0.0,0.0,0.008,6,6,1.0,0.0,93.333,136,0.0,0.008,0.0,100,0,,,0,False,True,0.0,none,0,0,0
6,47,scale-free,500,False,False,0.06,1.0,1.0,64,65,0.015,0.783,60,47,0.0,0.0,0.005,6,6,1.0,0.0,90.0,135,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
7,48,scale-free,500,False,False,0.061,1.0,1.0,63,64,0.016,0.667,60,40,0.0,0.0,0.006,6,6,1.0,0.0,90.0,131,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
8,49,scale-free,500,False,False,0.059,1.0,1.0,67,66,0.015,0.645,62,40,0.0,0.0,0.01,6,6,1.0,0.0,90.0,134,0.0,0.01,0.0,100,0,,,0,False,True,0.0,none,0,0,0
9,50,scale-free,500,False,False,0.059,1.0,1.0,66,66,0.015,0.79,62,49,0.0,0.0,0.006,6,6,1.0,0.0,90.0,134,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
10,51,scale-free,500,False,False,0.057,1.0,1.0,68,68,0.015,0.81,63,51,0.0,0.0,0.009,6,6,1.0,0.0,90.0,143,0.0,0.009,0.0,100,0,,,0,False,True,0.0,none,0,0,0
11,52,scale-free,500,False,False,0.058,1.0,1.0,66,67,0.015,0.82,61,50,0.0,0.0,0.014,6,6,1.0,0.0,90.0,135,0.0,0.014,0.0,100,0,,,0,False,True,0.0,none,0,0,0
12,53,scale-free,500,False,False,0.059,1.0,1.0,66,66,0.015,0.806,62,50,0.0,0.0,0.007,6,6,1.0,0.0,90.0,139,0.0,0.007,0.0,100,0,,,0,False,True,0.0,none,0,0,0
13,54,scale-free,500,False,False,0.06,1.0,1.0,64,65,0.015,0.814,59,48,0.0,0.0,0.014,6,6,1.0,0.0,90.0,131,0.0,0.014,0.0,100,0,,,0,False,True,0.0,none,0,0,0
