run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,500,False,False,0.057,1.0,1.0,68,69,0.014,0.828,64,53,0.0,0.0,0.015,6,6,1.0,0.0,90.0,168,0.0,0.015,0.0,100,0,,,0,False,True,0.0,none,0,0,0
2,43,federation,500,False,False,0.057,1.0,1.0,67,68,0.029,0.857,63,54,0.0,0.0,0.003,6,6,1.0,0.0,90.0,171,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
3,44,federation,500,False,False,0.058,1.0,1.0,66,65,0.045,0.841,63,53,0.0,0.0,0.007,6,6,1.0,0.0,90.0,175,0.0,0.007,0.0,100,0,,,0,False,True,0.0,none,0,0,0
4,45,federation,500,False,False,0.058,1.0,1.0,66,67,0.015,0.869,61,53,0.0,0.0,0.009,6,6,1.0,0.0,90.0,170,0.0,0.009,0.0,100,0,,,0,False,True,0.0,none,0,0,0
5,46,federation,500,False,False,0.059,1.0,1.0,66,65,0.03,0.841,63,53,0.0,0.005,0.009,6,6,1.0,0.0,90.0,180,0.0,0.008,0.0,100,0,,,0,False,True,0.0,none,0,0,0
6,47,federation,500,False,False,0.058,1.0,1.0,66,67,0.015,0.787,61,48,0.0,0.0,0.007,6,6,1.0,0.0,90.0,163,0.0,0.007,0.0,100,0,,,0,False,True,0.0,none,0,0,0
7,48,federation,500,False,False,0.066,1.0,1.0,66,68,0.015,0.742,62,46,0.0,0.001,0.013,6,6,1.0,0.0,90.0,150,0.001,0.013,0.001,100,0,,,0,False,True,0.0,none,0,0,0
8,49,federation,500,False,False,0.061,1.0,1.0,64,64,0.016,0.77,61,47,0.0,0.0,0.014,6,6,1.0,0.0,90.0,162,0.0,0.014,0.0,100,0,,,0,False,True,0.0,none,0,0,0
9,50,federation,500,False,False,0.058,1.0,1.0,66,67,0.015,0.754,61,46,0.0,0.0,0.009,6,6,1.0,0.0,90.0,153,0.0,0.009,0.0,100,0,,,0,False,True,0.0,none,0,0,0
10,51,federation,500,False,False,0.059,1.0,1.0,65,66,0.015,0.852,61,52,0.0,0.0,0.005,6,6,1.0,0.0,90.0,170,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
11,52,federation,500,False,False,0.057,1.0,1.0,66,67,0.029,0.806,62,50,0.0,0.0,0.008,6,6,1.0,0.0,90.0,159,0.0,0.008,0.0,100,0,,,0,False,True,0.0,none,0,0,0
12,53,federation,500,False,False,0.06,1.0,1.0,67,66,0.015,0.839,62,52,0.0,0.0,0.008,6,6,1.0,0.0,90.0,160,0.0,0.008,0.0,100,0,,,0,False,True,0.0,none,0,0,0
13,54,federation,500,False,False,0.058,1.0,1.0,65,66,0.03,0.803,61,49,0.0,0.01,0.014,6,6,1.0,0.0,90.0,173,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
14,55,federation,500,False,False,0.059,1.0,1.0,66,66,0.015,0.918,61,56,0.0,0.0,0.012,6,6,1.0,0.0,90.0,160,0.0,0.012,0.0,100,0,,,0,False,True,0.0,none,0,0,0
15,56,federation,500,False,False,0.063,1.0,1.0,64,65,0.015,0.817,60,49,0.0,0.0,0.013,6,6,1.0,0.0,90.0,161,0.0,0.013,0.0,100,0,,,0,False,True,0.0,none,0,0,0
16,57,federation,500,False,False,0.107,1.0,1.0,63,63,0.075,0.75,56,42,0.0,0.0,0.028,6,6,1.0,0.0,90.0,159,0.0,0.028,0.0,100,0,,,0,False,True,0.0,none,0,0,0
17,58,federation,500,False,False,0.06,1.0,1.0,65,65,0.015,0.852,61,52,0.0,0.0,0.006,6,6,1.0,0.0,90.0,185,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
18,59,federation,500,False,False,0.061,1.0,1.0,66,64,0.016,0.77,61,47,0.0,0.0,0.006,6,6,1.0,0.0,90.0,174,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
19,60,federation,500,False,False,0.141,1.0,1.0,62,63,0.101,0.839,56,47,0.0,0.03,0.055,6,6,1.0,0.0,90.0,174,0.03,0.055,0.03,100,0,,,0,False,True,0.0,none,0,0,0
20,61,federation,500,False,False,0.057,1.0,1.0,67,67,0.029,0.825,63,52,0.0,0.003,0.006,6,6,1.0,0.0,90.0,199,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
21,62,federation,500,False,False,0.06,1.0,1.0,67,68,0.015,0.823,62,51,0.0,0.0,0.013,6,6,1.0,0.0,90.0,193,0.0,0.013,0.0,100,0,,,0,False,True,0.0,none,0,0,0
22,63,federation,500,False,False,0.06,1.0,1.0,65,65,0.015,0.754,61,46,0.0,0.0,0.008,6,6,1.0,0.0,90.0,166,0.0,0.008,0.0,100,0,,,0,False,True,0.0,none,0,0,0
23,64,federation,500,False,False,0.056,1.0,1.0,69,70,0.028,0.833,66,55,0.0,0.0,0.015,6,6,1.0,0.0,90.0,187,0.0,0.015,0.0,100,0,,,0,False,True,0.0,none,0,0,0
24,65,federation,500,False,False,0.064,1.0,1.0,66,68,0.029,0.823,62,51,0.0,0.0,0.006,6,6,1.0,0.0,90.0,175,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
25,66,federation,500,False,False,0.069,1.0,1.0,65,66,0.015,0.867,60,52,0.0,0.0,0.006,6,6,1.0,0.0,90.0,160,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
26,67,federation,500,False,False,0.061,1.0,1.0,64,64,0.016,0.712,59,42,0.0,0.0,0.003,6,6,1.0,0.0,90.0,164,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
27,68,federation,500,False,False,0.062,1.0,1.0,65,63,0.016,0.871,62,54,0.0,0.0,0.018,6,6,1.0,0.0,90.0,179,0.0,0.018,0.0,100,0,,,0,False,True,0.0,none,0,0,0
28,69,federation,500,False,False,0.058,1.0,1.0,66,67,0.015,0.836,61,51,0.0,0.0,0.003,6,6,1.0,0.0,90.0,157,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
