run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,500,True,True,0.951,1.0,1.0,28,7,0.91,0.455,11,5,0.1,0.787,0.692,6,6,1.0,0.41,91.667,78,0.366,0.304,0.366,100,0,,,0,False,True,0.0,none,0,0,0
2,43,small-world,500,True,True,0.957,1.0,1.0,30,9,0.886,0.667,12,8,0.1,0.801,0.706,6,6,1.0,0.44,98.333,84,0.378,0.311,0.378,100,0,,400,62,False,True,0.0,none,0,0,0
3,44,small-world,500,True,True,0.928,1.0,1.0,28,9,0.868,0.125,8,1,0.1,0.777,0.678,6,6,1.0,0.362,90.0,80,0.386,0.335,0.386,100,0,,,0,False,True,0.0,none,0,0,0
4,45,small-world,500,True,True,0.941,1.0,1.0,29,10,0.448,0.4,5,2,0.1,0.803,0.703,6,6,1.0,0.365,90.0,75,0.425,0.352,0.425,100,0,,400,30,False,True,0.0,none,0,0,0
5,46,small-world,500,True,True,0.916,1.0,1.0,33,15,0.435,0.667,9,6,0.1,0.771,0.685,6,6,1.0,0.262,91.667,84,0.384,0.32,0.384,100,0,,,0,False,True,0.0,none,0,0,0
6,47,small-world,500,True,True,0.901,1.0,1.0,32,11,0.836,0.545,11,6,0.1,0.736,0.649,6,6,1.0,0.364,90.0,88,0.365,0.292,0.365,100,0,,,0,False,True,0.0,none,0,0,0
7,48,small-world,500,True,True,0.958,1.0,1.0,25,8,0.881,0.667,6,4,0.1,0.817,0.716,6,6,1.0,0.347,90.0,75,0.431,0.346,0.431,100,0,,390,54,False,True,0.0,none,0,0,0
8,49,small-world,500,True,True,0.957,1.0,1.0,29,7,0.91,0.2,5,1,0.1,0.778,0.671,6,6,1.0,0.415,90.0,82,0.4,0.317,0.4,100,0,,,0,False,True,0.0,none,0,0,0
9,50,small-world,500,True,True,0.955,1.0,1.0,26,12,0.746,0.0,5,0,0.1,0.821,0.719,6,6,1.0,0.324,90.0,68,0.424,0.355,0.424,100,0,,380,50,False,True,0.0,none,0,0,0
10,51,small-world,500,True,True,0.915,1.0,1.0,34,9,0.868,0.571,14,8,0.1,0.764,0.678,6,6,1.0,0.4,90.0,90,0.373,0.316,0.373,100,0,,,0,False,True,0.0,none,0,0,0
11,52,small-world,500,True,True,0.945,1.0,1.0,25,7,0.912,0.571,7,4,0.1,0.803,0.708,6,6,1.0,0.377,90.0,77,0.423,0.345,0.423,100,0,,400,62,False,True,0.0,none,0,0,0
