run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
33,74,federation,500,True,True,0.957,1.0,1.0,19,7,0.913,0.0,4,0,0.2,0.806,0.744,6,6,1.0,0.36,90.0,90,0.435,0.361,0.435,100,0,,400,63,False,True,0.0,none,0,0,0
34,75,federation,500,True,True,0.957,1.0,1.0,24,9,0.881,0.444,9,4,0.2,0.792,0.717,6,6,1.0,0.388,90.0,97,0.36,0.292,0.36,100,0,,,0,False,True,0.0,none,0,0,0
35,76,federation,500,True,True,0.96,1.0,1.0,19,7,0.909,0.0,1,0,0.2,0.854,0.781,6,6,1.0,0.38,90.0,79,0.42,0.336,0.42,100,0,,360,60,False,True,0.0,none,0,0,0
36,77,federation,500,True,True,0.912,1.0,1.0,30,10,0.821,0.375,8,3,0.2,0.717,0.657,6,6,1.0,0.239,90.0,110,0.351,0.283,0.351,100,0,,,0,False,True,0.0,none,0,0,0
37,78,federation,500,True,True,0.967,1.0,1.0,25,7,0.913,0.429,7,3,0.2,0.897,0.854,6,6,1.0,0.495,90.0,97,0.426,0.354,0.426,100,0,,290,59,False,True,0.0,none,0,0,0
38,79,federation,500,True,True,0.951,1.0,1.0,25,7,0.913,0.667,6,4,0.2,0.813,0.742,6,6,1.0,0.455,90.0,99,0.38,0.315,0.38,100,0,,390,63,False,True,0.0,none,0,0,0
39,80,federation,500,True,True,0.951,1.0,1.0,19,7,0.913,0.2,5,1,0.2,0.798,0.737,6,6,1.0,0.366,91.667,93,0.402,0.324,0.402,100,0,,,0,False,True,0.0,none,0,0,0
40,81,federation,500,True,True,0.963,1.0,1.0,24,7,0.905,0.5,6,3,0.2,0.878,0.822,6,6,1.0,0.476,90.0,89,0.434,0.352,0.434,100,0,,320,56,False,True,0.0,none,0,0,0
41,82,federation,500,True,True,0.97,1.0,1.0,17,7,0.915,0.0,0,0,0.2,0.9,0.842,6,6,1.0,0.438,95.0,73,0.47,0.377,0.47,100,0,,310,65,False,True,0.0,none,0,0,0
42,83,federation,500,True,True,0.946,1.0,1.0,20,7,0.909,0.5,4,2,0.2,0.836,0.78,6,6,1.0,0.373,91.667,75,0.438,0.349,0.438,100,0,,370,59,False,True,0.0,none,0,0,0
43,84,federation,500,True,True,0.968,1.0,1.0,25,8,0.896,0.0,4,0,0.2,0.889,0.828,6,6,1.0,0.505,90.0,95,0.397,0.323,0.397,100,0,,320,55,False,True,0.0,none,0,0,0
44,85,federation,500,True,True,0.939,1.0,1.0,19,8,0.897,0.0,2,0,0.2,0.773,0.703,6,6,1.0,0.364,90.0,88,0.404,0.324,0.404,100,0,,,0,False,True,0.0,none,0,0,0
45,86,federation,500,True,True,0.944,1.0,1.0,24,8,0.881,0.5,6,3,0.2,0.836,0.765,6,6,1.0,0.429,91.667,92,0.4,0.322,0.4,100,0,,380,57,False,True,0.0,none,0,0,0
46,87,federation,500,True,True,0.948,1.0,1.0,20,7,0.912,0.2,5,1,0.2,0.794,0.721,6,6,1.0,0.321,90.0,78,0.401,0.323,0.401,100,0,,,0,False,True,0.0,none,0,0,0
47,88,federation,500,True,True,0.948,1.0,1.0,20,8,0.897,0.0,3,0,0.2,0.762,0.696,6,6,1.0,0.363,90.0,91,0.376,0.302,0.376,100,0,,,0,False,True,0.0,none,0,0,0
48,89,federation,500,True,True,0.964,1.0,1.0,23,8,0.899,0.167,6,1,0.2,0.851,0.78,6,6,1.0,0.453,90.0,95,0.395,0.336,0.395,100,0,,360,60,False,True,0.0,none,0,0,0
49,90,federation,500,True,True,0.966,1.0,1.0,28,9,0.866,0.25,8,2,0.2,0.835,0.771,6,6,1.0,0.467,90.0,105,0.378,0.316,0.378,100,0,,370,57,False,True,0.0,none,0,0,0
50,91,federation,500,True,True,0.947,1.0,1.0,21,7,0.913,0.0,6,0,0.2,0.757,0.676,6,6,1.0,0.358,90.0,95,0.391,0.317,0.391,100,0,,,0,False,True,0.0,none,0,0,0
51,92,federation,500,True,True,0.966,1.0,1.0,19,7,0.91,0.0,1,0,0.2,0.846,0.771,6,6,1.0,0.467,93.333,91,0.426,0.351,0.426,100,0,,370,61,False,True,0.0,none,0,0,0
52,93,federation,500,True,True,0.893,1.0,1.0,22,10,0.853,0.444,9,4,0.2,0.7,0.638,6,6,1.0,0.247,91.667,85,0.352,0.293,0.352,100,0,,,0,False,True,0.0,none,0,0,0
53,94,federation,500,True,True,0.968,1.0,1.0,16,7,0.91,0.0,2,0,0.2,0.838,0.755,6,6,1.0,0.365,90.0,75,0.43,0.352,0.43,100,0,,380,61,False,True,0.0,none,0,0,0
54,95,federation,500,True,True,0.96,1.0,1.0,19,7,0.91,0.0,3,0,0.2,0.852,0.791,6,6,1.0,0.398,90.0,83,0.449,0.361,0.449,100,0,,350,61,False,True,0.0,none,0,0,0
55,96,federation,500,True,True,0.907,1.0,1.0,30,11,0.851,0.3,10,3,0.2,0.679,0.625,6,6,1.0,0.267,90.0,120,0.311,0.246,0.311,100,0,,,0,False,True,0.0,none,0,0,0
56,97,federation,500,True,True,0.885,1.0,1.0,30,11,0.809,0.333,12,4,0.2,0.687,0.638,6,6,1.0,0.292,90.0,106,0.317,0.274,0.317,100,0,,,0,False,True,0.0,none,0,0,0
57,98,federation,500,True,True,0.956,1.0,1.0,21,7,0.91,0.6,5,3,0.2,0.827,0.751,6,6,1.0,0.384,93.333,99,0.403,0.336,0.403,100,0,,380,61,False,True,0.0,none,0,0,0
58,99,federation,500,True,True,0.905,1.0,1.0,26,10,0.848,0.143,7,1,0.2,0.726,0.666,6,6,1.0,0.29,90.0,110,0.35,0.29,0.35,100,0,,,0,False,True,0.0,none,0,0,0
59,100,federation,500,True,True,0.961,1.0,1.0,31,8,0.884,0.4,5,2,0.2,0.86,0.795,6,6,1.0,0.434,90.0,99,0.384,0.307,0.384,100,0,,350,58,False,True,0.0,none,0,0,0
60,101,federation,500,True,True,0.963,1.0,1.0,32,9,0.881,0.636,11,7,0.2,0.888,0.826,6,6,1.0,0.476,90.0,103,0.382,0.316,0.382,100,0,,320,57,False,True,0.0,none,0,0,0
61,102,federation,500,True,True,0.967,1.0,1.0,18,8,0.892,0.0,4,0,0.2,0.874,0.812,6,6,1.0,0.382,91.667,68,0.465,0.377,0.465,100,0,,330,57,False,True,0.0,none,0,0,0
62,103,federation,500,True,True,0.929,1.0,1.0,15,7,0.913,0.0,2,0,0.2,0.731,0.655,6,6,1.0,0.338,91.667,68,0.406,0.32,0.406,100,0,,,0,False,True,0.0,none,0,0,0
63,104,federation,500,True,True,0.968,1.0,1.0,21,7,0.912,0.2,5,1,0.2,0.824,0.748,6,6,1.0,0.483,90.0,89,0.391,0.317,0.391,100,0,,390,62,False,True,0.0,none,0,0,0
64,105,federation,500,True,True,0.969,1.0,1.0,15,8,0.897,0.5,2,1,0.2,0.88,0.815,6,6,1.0,0.557,90.0,70,0.477,0.385,0.477,100,0,,330,60,False,True,0.0,none,0,0,0
65,106,federation,500,True,True,0.937,1.0,1.0,25,10,0.764,0.0,5,0,0.2,0.759,0.696,6,6,1.0,0.386,90.0,101,0.379,0.304,0.379,100,0,,,0,False,True,0.0,none,0,0,0
66,107,federation,500,True,True,0.959,1.0,1.0,20,10,0.868,0.0,4,0,0.2,0.818,0.748,6,6,1.0,0.434,90.0,83,0.405,0.331,0.405,100,0,,390,58,False,True,0.0,none,0,0,0
67,108,federation,500,True,True,0.954,1.0,1.0,25,7,0.91,0.286,7,2,0.2,0.839,0.768,6,6,1.0,0.495,110.0,105,0.388,0.307,0.388,100,0,,370,60,False,True,0.0,none,0,0,0
