run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
42,83,scale-free,500,True,True,0.947,1.0,1.0,45,12,0.783,0.25,8,2,0.1,0.785,0.684,6,6,1.0,0.398,90.0,108,0.299,0.203,0.299,100,0,,,0,False,True,0.0,none,0,0,0
43,84,scale-free,500,True,True,0.934,1.0,1.0,41,10,0.848,0.286,7,2,0.1,0.76,0.667,6,6,1.0,0.412,90.0,102,0.294,0.211,0.294,100,0,,,0,False,True,0.0,none,0,0,0
44,85,scale-free,500,True,True,0.919,1.0,1.0,37,13,0.806,0.25,8,2,0.1,0.725,0.63,6,6,1.0,0.347,90.0,106,0.314,0.231,0.314,100,0,,,0,False,True,0.0,none,0,0,0
45,86,scale-free,500,True,True,0.883,1.0,1.0,43,12,0.746,0.6,15,9,0.1,0.699,0.617,6,6,1.0,0.396,90.0,111,0.265,0.194,0.265,100,0,,,0,False,True,0.0,none,0,0,0
46,87,scale-free,500,True,True,0.956,1.0,1.0,28,8,0.896,0.0,4,0,0.1,0.771,0.656,6,6,1.0,0.43,90.0,93,0.377,0.271,0.377,100,0,,,0,False,True,0.0,none,0,0,0
47,88,scale-free,500,True,True,0.867,1.0,1.0,49,17,0.697,0.524,21,11,0.1,0.672,0.618,6,6,1.0,0.302,90.0,116,0.222,0.149,0.222,100,0,,,0,False,True,0.0,none,0,0,0
48,89,scale-free,500,True,True,0.892,1.0,1.0,38,14,0.8,0.4,10,4,0.1,0.718,0.624,6,6,1.0,0.288,90.0,107,0.269,0.189,0.269,100,0,,,0,False,True,0.0,none,0,0,0
49,90,scale-free,500,True,True,0.936,1.0,1.0,35,11,0.836,0.4,10,4,0.1,0.799,0.695,6,6,1.0,0.426,90.0,94,0.311,0.242,0.311,100,0,,,0,False,True,0.0,none,0,0,0
50,91,scale-free,500,True,True,0.912,1.0,1.0,48,14,0.672,0.375,8,3,0.1,0.693,0.615,6,6,1.0,0.383,90.0,115,0.241,0.163,0.241,100,0,,,0,False,True,0.0,none,0,0,0
51,92,scale-free,500,True,True,0.932,1.0,1.0,30,10,0.845,0.286,7,2,0.1,0.738,0.635,6,6,1.0,0.368,90.0,95,0.325,0.235,0.325,100,0,,,0,False,True,0.0,none,0,0,0
