run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
64,105,random,500,False,False,0.059,1.0,1.0,65,65,0.03,0.803,61,49,0.0,0.0,0.006,6,6,1.0,0.0,90.0,201,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
65,106,random,500,False,False,0.057,1.0,1.0,68,69,0.014,0.857,63,54,0.0,0.0,0.004,6,6,1.0,0.0,90.0,205,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
66,107,random,500,False,False,0.057,1.0,1.0,66,67,0.029,0.839,62,52,0.0,0.001,0.006,6,6,1.0,0.0,90.0,201,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
67,108,random,500,False,False,0.057,1.0,1.0,68,67,0.029,0.846,65,55,0.0,0.013,0.007,6,6,1.0,0.0,90.0,220,0.0,0.001,0.0,100,0,,,0,False,True,0.0,none,0,0,0
68,109,random,500,False,False,0.058,1.0,1.0,66,67,0.015,0.82,61,50,0.0,0.0,0.009,6,6,1.0,0.0,90.0,203,0.0,0.009,0.0,100,0,,,0,False,True,0.0,none,0,0,0
69,110,random,500,False,False,0.057,1.0,1.0,66,68,0.015,0.871,62,54,0.0,0.0,0.002,6,6,1.0,0.0,90.0,222,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
70,111,random,500,False,False,0.06,1.0,1.0,64,65,0.015,0.867,60,52,0.0,0.0,0.004,6,6,1.0,0.0,90.0,192,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
71,112,random,500,False,False,0.059,1.0,1.0,67,65,0.03,0.778,63,49,0.0,0.009,0.009,6,6,1.0,0.0,90.0,197,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
72,113,random,500,False,False,0.057,1.0,1.0,67,68,0.015,0.903,62,56,0.0,0.0,0.002,6,6,1.0,0.0,90.0,218,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
73,114,random,500,False,False,0.062,1.0,1.0,64,63,0.016,0.847,59,50,0.0,0.0,0.001,6,6,1.0,0.0,90.0,185,0.0,0.001,0.0,100,0,,,0,False,True,0.0,none,0,0,0
74,115,random,500,False,False,0.058,1.0,1.0,67,67,0.015,0.871,62,54,0.0,0.0,0.003,6,6,1.0,0.0,90.0,206,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
75,116,random,500,False,False,0.058,1.0,1.0,66,66,0.03,0.823,62,51,0.0,0.002,0.007,6,6,1.0,0.0,90.0,202,0.0,0.007,0.0,100,0,,,0,False,True,0.0,none,0,0,0
76,117,random,500,False,False,0.059,1.0,1.0,65,65,0.03,0.885,61,54,0.0,0.003,0.004,6,6,1.0,0.0,90.0,201,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
77,118,random,500,False,False,0.059,1.0,1.0,65,66,0.015,0.82,61,50,0.0,0.0,0.005,6,6,1.0,0.0,90.0,190,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
78,119,random,500,False,False,0.059,1.0,1.0,66,66,0.015,0.803,61,49,0.0,0.0,0.005,6,6,1.0,0.0,90.0,177,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
79,120,random,500,False,False,0.058,1.0,1.0,66,67,0.015,0.869,61,53,0.0,0.0,0.006,6,6,1.0,0.0,90.0,213,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
80,121,random,500,False,False,0.062,1.0,1.0,64,62,0.032,0.852,61,52,0.0,0.005,0.002,6,6,1.0,0.0,90.0,195,0.0,0.001,0.0,100,0,,,0,False,True,0.0,none,0,0,0
81,122,random,500,False,False,0.057,1.0,1.0,67,68,0.029,0.746,63,47,0.0,0.0,0.004,6,6,1.0,0.0,90.0,201,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
82,123,random,500,False,False,0.06,1.0,1.0,66,65,0.015,0.82,61,50,0.0,0.0,0.004,6,6,1.0,0.0,90.0,183,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
