run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
25,66,federation,500,True,True,0.968,1.0,1.0,6,8,0.892,0.0,1,0,0.05,0.908,1.0,0.907,6,6,1.0,0.0,0.983,96.667,18,0.73,0.747,0.73,100,0,,120,59,False,True,0.0,none,0,0,0
26,67,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,96.667,18,0.749,0.763,0.749,100,,190,90,65,True,False,0.0,none,0,0,0
27,68,federation,500,True,True,0.969,1.0,1.0,6,7,0.914,0.0,0,0,0.05,0.911,0.984,0.914,6,6,1.0,0.05,1.0,98.333,20,0.741,0.748,0.741,100,0,,120,61,False,True,0.0,none,0,0,0
28,69,federation,500,True,True,0.97,1.0,1.0,6,7,0.915,0.0,0,0,0.05,0.915,1.0,0.915,6,6,1.0,0.174,1.0,95.0,23,0.737,0.762,0.737,100,0,,150,61,False,True,0.0,none,0,0,0
29,70,federation,500,True,True,0.958,1.0,1.0,6,8,0.894,0.0,0,0,0.05,0.909,1.0,0.908,6,6,1.0,0.0,0.983,96.667,18,0.743,0.773,0.743,100,0,,110,63,False,True,0.0,none,0,0,0
30,71,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,98.333,18,0.749,0.749,0.753,100,,200,100,66,True,False,0.0,none,0,0,0
31,72,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.053,1.0,98.333,19,0.739,0.755,0.739,100,,200,100,68,True,False,0.0,none,0,0,0
32,73,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.744,0.744,0.744,100,0,,150,61,False,True,0.0,none,0,0,0
33,74,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.105,1.0,98.333,19,0.744,0.763,0.744,100,0,,120,60,False,True,0.0,none,0,0,0
34,75,federation,500,True,True,0.964,1.0,1.0,6,7,0.912,0.5,4,2,0.05,0.911,1.0,0.912,6,6,1.0,0.259,1.0,98.333,27,0.731,0.75,0.731,100,0,,180,61,False,True,0.0,none,0,0,0
35,76,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,93.333,18,0.716,0.716,0.735,100,0,,130,60,False,True,0.0,none,0,0,0
36,77,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.905,0.983,0.909,6,6,1.0,0.0,1.0,95.0,20,0.724,0.727,0.724,100,0,,120,60,False,True,0.0,none,0,0,0
37,78,federation,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.05,0.914,1.0,0.914,6,6,1.0,0.0,1.0,96.667,18,0.749,0.758,0.749,100,0,,120,61,False,True,0.0,none,0,0,0
38,79,federation,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,1,0,0.05,0.907,1.0,0.908,6,6,1.0,0.053,1.0,93.333,20,0.737,0.755,0.737,100,0,,160,60,False,True,0.0,none,0,0,0
39,80,federation,500,True,True,0.967,1.0,1.0,6,7,0.914,0.0,1,0,0.05,0.914,1.0,0.914,6,6,1.0,0.182,1.0,96.667,22,0.73,0.734,0.73,100,0,,120,62,False,True,0.0,none,0,0,0
40,81,federation,500,True,True,0.961,1.0,1.0,6,7,0.906,0.667,3,2,0.05,0.906,1.0,0.906,6,6,1.0,0.167,1.0,98.333,35,0.714,0.739,0.714,100,0,,180,57,False,True,0.0,none,0,0,0
41,82,federation,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.05,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,17,0.738,0.756,0.738,100,,200,100,67,True,False,0.0,none,0,0,0
42,83,federation,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.05,0.908,1.0,0.908,6,6,1.0,0.25,1.0,96.667,25,0.707,0.744,0.707,100,0,,170,60,False,True,0.0,none,0,0,0
43,84,federation,500,True,True,0.969,1.0,1.0,7,8,0.896,0.0,1,0,0.05,0.91,1.0,0.907,6,6,1.0,0.053,1.0,98.333,26,0.716,0.744,0.716,100,0,,180,58,False,True,0.0,none,0,0,0
44,85,federation,500,True,True,0.968,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.738,0.757,0.738,100,,200,100,66,True,False,0.0,none,0,0,0
45,86,federation,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,1,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,98.333,18,0.731,0.75,0.731,100,0,,110,66,False,True,0.0,none,0,0,0
46,87,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,95.0,18,0.731,0.746,0.731,100,0,,120,60,False,True,0.0,none,0,0,0
47,88,federation,500,True,True,0.971,1.0,1.0,6,7,0.917,0.0,0,0,0.05,0.917,1.0,0.917,6,6,1.0,0.095,1.0,98.333,21,0.729,0.729,0.738,100,0,,110,66,False,True,0.0,none,0,0,0
48,89,federation,500,True,True,0.962,1.0,1.0,6,7,0.912,0.5,2,1,0.05,0.907,0.984,0.912,6,6,1.0,0.077,1.0,96.667,26,0.731,0.735,0.731,100,0,,150,62,False,True,0.0,none,0,0,0
49,90,federation,500,True,True,0.968,1.0,1.0,8,8,0.892,0.333,3,1,0.05,0.905,1.0,0.907,6,6,1.0,0.208,0.983,96.667,33,0.704,0.754,0.704,100,0,,190,57,False,True,0.0,none,0,0,0
50,91,federation,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.05,0.908,1.0,0.908,6,6,1.0,0.0,1.0,96.667,18,0.753,0.753,0.76,100,,170,70,66,True,False,0.0,none,0,0,0
51,92,federation,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,18,0.737,0.766,0.737,100,0,,110,69,False,True,0.0,none,0,0,0
52,93,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,96.667,18,0.728,0.768,0.728,100,0,,130,62,False,True,0.0,none,0,0,0
53,94,federation,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,18,0.747,0.755,0.747,100,,180,80,67,True,False,0.0,none,0,0,0
54,95,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.75,0.765,0.75,100,,180,80,65,True,False,0.0,none,0,0,0
55,96,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.725,0.729,0.725,100,0,,120,61,False,True,0.0,none,0,0,0
56,97,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,96.667,18,0.712,0.745,0.712,100,0,,130,59,False,True,0.0,none,0,0,0
57,98,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.095,1.0,96.667,21,0.736,0.744,0.736,100,0,,130,61,False,True,0.0,none,0,0,0
58,99,federation,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,1,0,0.05,0.908,1.0,0.908,6,6,1.0,0.0,1.0,98.333,18,0.739,0.739,0.75,100,,170,70,65,True,False,0.0,none,0,0,0
59,100,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.182,1.0,95.0,22,0.723,0.74,0.723,100,0,,170,59,False,True,0.0,none,0,0,0
60,101,federation,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,2,0,0.05,0.911,1.0,0.913,6,6,1.0,0.351,1.0,95.0,37,0.715,0.746,0.715,100,0,,200,60,False,True,0.0,none,0,0,0
61,102,federation,500,True,True,0.97,1.0,1.0,7,9,0.884,0.0,1,0,0.05,0.913,1.0,0.91,6,6,1.0,0.083,0.984,91.667,24,0.71,0.759,0.71,100,0,,180,56,False,True,0.0,none,0,0,0
62,103,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.739,0.753,0.739,100,,180,80,66,True,False,0.0,none,0,0,0
63,104,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,1,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,96.667,17,0.724,0.726,0.724,100,0,,150,60,False,True,0.0,none,0,0,0
64,105,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.76,0.774,0.76,100,,160,60,66,True,False,0.0,none,0,0,0
65,106,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,96.667,18,0.725,0.749,0.725,100,0,,120,62,False,True,0.0,none,0,0,0
66,107,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,98.333,18,0.734,0.734,0.759,100,,180,80,66,True,False,0.0,none,0,0,0
67,108,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.739,0.753,0.739,100,,200,100,66,True,False,0.0,none,0,0,0
68,109,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.759,0.766,0.759,100,,160,60,66,True,False,0.0,none,0,0,0
69,110,federation,500,True,True,0.963,1.0,1.0,7,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.13,1.0,98.333,23,0.738,0.738,0.753,100,0,,110,64,False,True,0.0,none,0,0,0
70,111,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.908,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.744,0.765,0.744,100,0,,120,60,False,True,0.0,none,0,0,0
71,112,federation,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.05,0.914,1.0,0.914,6,6,1.0,0.107,1.0,95.0,28,0.733,0.743,0.733,100,0,,160,62,False,True,0.0,none,0,0,0
72,113,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.048,1.0,98.333,21,0.741,0.741,0.741,100,0,,120,61,False,True,0.0,none,0,0,0
73,114,federation,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,2,0,0.05,0.907,1.0,0.908,6,6,1.0,0.087,1.0,91.667,23,0.714,0.743,0.714,100,0,,180,59,False,True,0.0,none,0,0,0
74,115,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,96.667,18,0.767,0.768,0.767,100,,160,60,67,True,False,0.0,none,0,0,0
75,116,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.167,1.0,95.0,24,0.714,0.714,0.725,100,0,,160,60,False,True,0.0,none,0,0,0
76,117,federation,500,True,True,0.969,1.0,1.0,6,8,0.896,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,0.984,98.333,18,0.743,0.744,0.743,100,0,,120,60,False,True,0.0,none,0,0,0
77,118,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.909,1.0,0.91,6,6,1.0,0.16,1.0,93.333,26,0.71,0.778,0.71,100,0,,180,61,False,True,0.0,none,0,0,0
78,119,federation,500,True,True,0.969,1.0,1.0,6,9,0.882,0.0,0,0,0.05,0.912,1.0,0.911,6,6,1.0,0.0,0.968,96.667,18,0.72,0.773,0.72,100,0,,130,58,False,True,0.0,none,0,0,0
79,120,federation,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.053,1.0,98.333,19,0.749,0.758,0.749,100,,180,80,68,True,False,0.0,none,0,0,0
80,121,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.908,1.0,0.91,6,6,1.0,0.0,1.0,95.0,19,0.726,0.726,0.739,100,0,,140,60,False,True,0.0,none,0,0,0
81,122,federation,500,True,True,0.967,1.0,1.0,6,7,0.906,0.0,0,0,0.05,0.906,1.0,0.906,6,6,1.0,0.0,1.0,98.333,17,0.75,0.75,0.758,100,,180,80,65,True,False,0.0,none,0,0,0
82,123,federation,500,True,True,0.967,1.0,1.0,6,7,0.905,0.0,1,0,0.05,0.905,1.0,0.905,6,6,1.0,0.0,1.0,96.667,23,0.719,0.77,0.719,100,0,,140,59,False,True,0.0,none,0,0,0
83,124,federation,500,True,True,0.967,1.0,1.0,6,7,0.906,0.0,0,0,0.05,0.906,1.0,0.906,6,6,1.0,0.0,1.0,100.0,17,0.751,0.753,0.751,100,,160,60,64,True,False,0.0,none,0,0,0
84,125,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,96.667,18,0.745,0.749,0.745,100,,190,90,66,True,False,0.0,none,0,0,0
85,126,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,93.333,19,0.735,0.752,0.735,100,0,,160,62,False,True,0.0,none,0,0,0
86,127,federation,500,True,True,0.965,1.0,1.0,7,8,0.894,0.0,1,0,0.05,0.905,0.983,0.907,6,6,1.0,0.0,1.0,98.333,21,0.73,0.73,0.735,100,,200,100,65,True,False,0.0,none,0,0,0
87,128,federation,500,True,True,0.966,1.0,1.0,6,7,0.913,0.0,1,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,17,0.745,0.771,0.745,100,,180,80,66,True,False,0.0,none,0,0,0
88,129,federation,500,True,True,0.968,1.0,1.0,7,7,0.909,0.0,1,0,0.05,0.909,1.0,0.909,6,6,1.0,0.167,1.0,96.667,30,0.739,0.755,0.739,100,0,,140,60,False,True,0.0,none,0,0,0
89,130,federation,500,True,True,0.961,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.053,1.0,100.0,19,0.718,0.774,0.718,100,0,,130,61,False,True,0.0,none,0,0,0
90,131,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,98.333,18,0.741,0.741,0.748,100,0,,140,59,False,True,0.0,none,0,0,0
91,132,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,98.333,18,0.743,0.743,0.751,100,,190,90,67,True,False,0.0,none,0,0,0
92,133,federation,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.182,1.0,98.333,23,0.721,0.721,0.733,100,0,,120,61,False,True,0.0,none,0,0,0
93,134,federation,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.05,0.908,1.0,0.908,6,6,1.0,0.0,1.0,98.333,18,0.735,0.752,0.735,100,0,,130,60,False,True,0.0,none,0,0,0
94,135,federation,500,True,True,0.968,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.125,1.0,95.0,24,0.721,0.721,0.739,100,0,,150,60,False,True,0.0,none,0,0,0
95,136,federation,500,True,True,0.961,1.0,1.0,6,7,0.913,0.0,1,0,0.05,0.913,1.0,0.913,6,6,1.0,0.056,1.0,100.0,20,0.737,0.762,0.737,100,,200,100,69,True,False,0.0,none,0,0,0
96,137,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.05,1.0,96.667,20,0.746,0.746,0.751,100,,200,100,66,True,False,0.0,none,0,0,0
97,138,federation,500,True,True,0.969,1.0,1.0,6,8,0.896,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,0.984,100.0,18,0.751,0.763,0.751,100,,190,90,65,True,False,0.0,none,0,0,0
98,139,federation,500,True,True,0.964,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,96.667,17,0.698,0.698,0.722,100,0,,140,61,False,True,0.0,none,0,0,0
99,140,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,96.667,18,0.728,0.774,0.728,100,0,,120,60,False,True,0.0,none,0,0,0
100,141,federation,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.05,0.908,1.0,0.908,6,6,1.0,0.0,1.0,98.333,18,0.743,0.748,0.743,100,0,,130,59,False,True,0.0,none,0,0,0
