run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
28,69,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,2,0,0.05,0.91,1.0,0.91,6,6,1.0,0.125,1.0,91.667,24,0.682,0.762,0.682,100,0,,200,61,False,True,0.0,none,0,0,0
29,70,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.143,1.0,98.333,21,0.704,0.773,0.704,100,0,,150,61,False,True,0.0,none,0,0,0
30,71,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,96.667,18,0.707,0.749,0.707,100,0,,160,61,False,True,0.0,none,0,0,0
31,72,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,96.667,18,0.7,0.755,0.7,100,0,,150,60,False,True,0.0,none,0,0,0
32,73,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,93.333,18,0.71,0.744,0.71,100,0,,150,60,False,True,0.0,none,0,0,0
33,74,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,93.333,18,0.7,0.763,0.7,100,0,,170,60,False,True,0.0,none,0,0,0
34,75,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,93.333,18,0.716,0.75,0.716,100,0,,160,61,False,True,0.0,none,0,0,0
35,76,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,111.667,19,0.716,0.716,0.73,100,0,,140,62,False,True,0.0,none,0,0,0
36,77,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,95.0,18,0.706,0.727,0.706,100,0,,150,61,False,True,0.0,none,0,0,0
37,78,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,95.0,18,0.711,0.758,0.711,100,0,,140,59,False,True,0.0,none,0,0,0
