run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
25,66,random,500,True,True,0.965,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.747,0.747,0.753,100,,160,60,66,True,False,0.0,none,0,0,0
26,67,random,500,True,True,0.967,1.0,1.0,6,7,0.906,0.0,0,0,0.1,0.905,1.0,0.906,6,6,1.0,0.0,1.0,100.0,18,0.761,0.763,0.761,100,,160,60,65,True,False,0.0,none,0,0,0
27,68,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.748,0.748,0.751,100,,150,50,66,True,False,0.0,none,0,0,0
28,69,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,1,0,0.1,0.905,0.983,0.909,6,6,1.0,0.0,1.0,100.0,18,0.746,0.762,0.746,100,,170,70,66,True,False,0.0,none,0,0,0
29,70,random,500,True,True,0.951,1.0,1.0,6,8,0.892,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,0.983,100.0,18,0.753,0.773,0.753,100,,160,60,65,True,False,0.0,none,0,0,0
30,71,random,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.1,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,18,0.747,0.749,0.747,100,,170,70,68,True,False,0.0,none,0,0,0
31,72,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.755,0.755,0.762,100,,150,50,66,True,False,0.0,none,0,0,0
32,73,random,500,True,True,0.959,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.744,0.744,0.759,100,,150,50,66,True,False,0.0,none,0,0,0
33,74,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.735,0.763,0.735,100,,190,90,67,True,False,0.0,none,0,0,0
34,75,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,17,0.75,0.75,0.755,100,,150,50,66,True,False,0.0,none,0,0,0
35,76,random,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.716,0.716,0.761,100,,150,50,66,True,False,0.0,none,0,0,0
36,77,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.909,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.727,0.727,0.741,100,,170,70,65,True,False,0.0,none,0,0,0
37,78,random,500,True,True,0.97,1.0,1.0,6,7,0.915,0.0,0,0,0.1,0.915,1.0,0.915,6,6,1.0,0.0,1.0,100.0,18,0.758,0.758,0.768,100,,140,40,68,True,False,0.0,none,0,0,0
38,79,random,500,True,True,0.966,1.0,1.0,6,7,0.909,0.0,1,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.755,0.755,0.755,100,,160,60,66,True,False,0.0,none,0,0,0
39,80,random,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.913,1.0,0.914,6,6,1.0,0.0,1.0,100.0,18,0.734,0.734,0.755,100,,160,60,66,True,False,0.0,none,0,0,0
40,81,random,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.739,0.739,0.756,100,,160,60,64,True,False,0.0,none,0,0,0
41,82,random,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.737,0.756,0.737,100,,170,70,67,True,False,0.0,none,0,0,0
42,83,random,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.744,0.744,0.763,100,,150,50,65,True,False,0.0,none,0,0,0
43,84,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.738,0.744,0.738,100,,170,70,67,True,False,0.0,none,0,0,0
44,85,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.744,0.757,0.744,100,,160,60,67,True,False,0.0,none,0,0,0
