run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,500,False,False,0.457,1.0,1.0,37,38,0.431,0.559,34,19,0.0,0.191,0.015,0.4,6,6,1.0,0.0,0.985,90.0,99,0.191,0.4,0.191,120,20,,,0,False,True,0.0,none,0,0,0
2,43,small-world,500,False,False,0.324,1.0,1.0,44,45,0.343,0.707,41,29,0.0,0.176,0.115,0.342,6,6,1.0,0.0,1.0,90.0,101,0.176,0.342,0.176,100,0,,,0,False,True,0.0,none,0,0,0
3,44,small-world,500,False,False,0.324,1.0,1.0,46,47,0.313,0.738,42,31,0.0,0.122,0.049,0.272,6,6,1.0,0.0,1.0,98.333,109,0.122,0.272,0.122,100,0,,,0,False,True,0.0,none,0,0,0
4,45,small-world,500,False,False,0.236,1.0,1.0,49,50,0.212,0.809,47,38,0.0,0.037,0.0,0.096,6,6,1.0,0.0,0.983,90.0,109,0.037,0.096,0.037,120,20,,,0,False,True,0.0,none,0,0,0
5,46,small-world,500,False,False,0.136,1.0,1.0,60,61,0.091,0.722,54,39,0.0,0.0,0.0,0.065,6,6,1.0,0.0,1.0,90.0,129,0.0,0.065,0.0,100,0,,,0,False,True,0.0,none,0,0,0
6,47,small-world,500,False,False,0.291,1.0,1.0,53,53,0.134,0.667,45,30,0.0,0.061,0.0,0.177,6,6,1.0,0.0,0.967,90.0,122,0.061,0.177,0.061,100,0,,,0,False,True,0.0,none,0,0,0
7,48,small-world,500,False,False,0.238,1.0,1.0,51,51,0.227,0.617,47,29,0.0,0.056,0.0,0.135,6,6,1.0,0.0,0.983,90.0,118,0.056,0.135,0.056,120,20,,,0,False,True,0.0,none,0,0,0
8,49,small-world,500,False,False,0.331,1.0,1.0,50,51,0.191,0.714,42,30,0.0,0.118,0.0,0.267,6,6,1.0,0.0,1.0,90.0,115,0.118,0.267,0.118,100,0,,,0,False,True,0.0,none,0,0,0
9,50,small-world,500,False,False,0.386,1.0,1.0,42,43,0.364,0.842,38,32,0.0,0.246,0.217,0.395,6,6,1.0,0.0,0.983,90.0,100,0.246,0.395,0.246,120,20,,,0,False,True,0.0,none,0,0,0
10,51,small-world,500,False,False,0.277,1.0,1.0,55,56,0.129,0.837,49,41,0.0,0.115,0.031,0.253,6,6,1.0,0.0,0.984,90.0,127,0.115,0.253,0.115,120,20,,,0,False,True,0.0,none,0,0,0
