batch_id,run_index,seed,recheck_interval,detection_delay,misclassification_rate,first_centralizing_step,detected_centralizing_step,centralizing_latency_steps,first_star_adjacent_step,detected_star_adjacent_step,star_adjacent_latency_steps,wrong_monitoring_steps,star_adjacent_undetected_steps
grand_sim_v0_3,6,107366,1,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,7,107367,1,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,8,107368,1,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,9,107369,1,10,0.0,55,65,10,80,90,10,20,10
grand_sim_v0_3,0,107370,1,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,1,107371,1,10,0.1,55,68,13,80,90,10,23,10
grand_sim_v0_3,2,107372,1,10,0.1,55,65,10,80,91,11,21,11
grand_sim_v0_3,3,107373,1,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,4,107374,1,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,5,107375,1,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,6,107376,1,10,0.1,55,66,11,80,90,10,21,10
grand_sim_v0_3,7,107377,1,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,8,107378,1,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,9,107379,1,10,0.1,55,65,10,80,90,10,20,10
grand_sim_v0_3,0,107380,1,10,0.25,55,66,11,80,90,10,21,10
grand_sim_v0_3,1,107381,1,10,0.25,55,65,10,80,90,10,20,10
grand_sim_v0_3,2,107382,1,10,0.25,55,66,11,80,90,10,21,10
grand_sim_v0_3,3,107383,1,10,0.25,55,65,10,80,90,10,20,10
grand_sim_v0_3,4,107384,1,10,0.25,55,65,10,80,90,10,20,10
grand_sim_v0_3,5,107385,1,10,0.25,55,65,10,80,90,10,20,10
grand_sim_v0_3,6,107386,1,10,0.25,55,65,10,80,91,11,21,11
grand_sim_v0_3,7,107387,1,10,0.25,55,65,10,80,90,10,20,10
grand_sim_v0_3,8,107388,1,10,0.25,55,65,10,80,90,10,20,10
grand_sim_v0_3,9,107389,1,10,0.25,55,66,11,80,90,10,21,10
grand_sim_v0_3,0,107390,1,20,0.0,55,75,20,80,100,20,40,20
grand_sim_v0_3,1,107391,1,20,0.0,55,75,20,80,100,20,40,20
