batch_id,weight_profile,psi_lambda,psi_lambda_locked,psi_threshold,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,avg_lag_steps,accepted_candidate,recommended_locked_candidate
grand_sim_v0_3,v02_default,0.2,0,0.44,80,40,0.75,0.5,0.25,0.0,1.725,10.5,0,0
grand_sim_v0_3,v02_default,0.2,0,0.46,80,40,0.75,0.5,0.25,0.0,1.5,15.25,0,0
grand_sim_v0_3,v02_default,0.2,0,0.48,80,40,0.75,0.5,0.25,0.0,1.15,22.1,0,0
grand_sim_v0_3,v02_default,0.2,0,0.5,80,40,0.75,0.475,0.25,0.0,0.578947,28.272727,0,0
grand_sim_v0_3,v02_default,0.2,0,0.52,80,40,0.725,0.2875,0.275,0.0,0.608696,22.4,0,0
grand_sim_v0_3,v02_default,0.2,0,0.54,80,40,0.5,0.15,0.5,0.0,0.666667,1.142857,0,0
grand_sim_v0_3,v02_default,0.2,0,0.56,80,40,0.5,0.0875,0.5,0.0,0.0,1.272727,0,0
grand_sim_v0_3,v02_default,0.2,0,0.58,80,40,0.5,0.025,0.5,0.0,0.0,1.657895,0,0
grand_sim_v0_3,v02_default,0.2,0,0.6,80,40,0.5,0.0,0.5,0.0,0.0,2.325,0,0
grand_sim_v0_3,v02_default,0.2,0,0.62,80,40,0.5,0.0,0.5,0.0,0.0,3.275,0,0
grand_sim_v0_3,v02_default,0.2,0,0.64,80,40,0.5,0.0,0.5,0.0,0.0,4.475,0,0
grand_sim_v0_3,v02_default,0.2,0,0.66,80,40,0.5,0.0,0.5,0.0,0.0,6.125,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.3,80,40,1.0,1.0,0.0,0.0,8.7375,0.0,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.32,80,40,1.0,1.0,0.0,0.0,6.925,0.0,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.34,80,40,1.0,1.0,0.0,0.0,5.0125,0.0,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.36,80,40,1.0,1.0,0.0,0.0,4.225,0.0,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.38,80,40,1.0,1.0,0.0,0.0,3.375,0.0,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.4,80,40,1.0,0.725,0.0,0.0,1.224138,3.0,0,0
grand_sim_v0_3,disturbance_heavy,0.05,0,0.42,80,40,0.875,0.5,0.125,0.0,1.35,9.833333,0,0
